id,titles,category,website,description,major_categ
28,"Human Rights, Environmental Protection and Climate Change",democratic institutions,https://www.unsdglearn.org/courses/human-rights-environmental-protection-and-climate-change-2021/,e learning course human rights environmental protection climate change covers basic principles concepts human rights sdgs emphasis goals targets relevant environmental protection relationship human rights environment course will notably illustrate   2030 agenda sustainable development can necessary environmental protection considering recent scientific legal developments around human rights environment regimes will include well section covering new developments following cop25 examples constitutions incorporated right healthy environment good practices procedural substantive environmental protection well good practices protection groups particularly vulnerable environmental harm participants will understand relationship human rights environmental protection takes place practice course will run 2 weeks week covering one module module   learning objectives well interactive online lessons guide participants contents lessons also available pdf format participants can work offline contents activities practice oriented self assessment approach participants will learn practical examples assignments associated research case scenarios download syllabus e learning course human rights environmental protection climate change covers basic principles concepts human rights sdgs emphasis goals targets relevant environmental protection relationship human rights environment course will notably illustrate   2030 agenda sustainable development can necessary environmental protection considering recent scientific legal developments around human rights environment regimes will include well section covering new developments following cop25 examples constitutions incorporated right healthy environment good practices procedural substantive environmental protection well good practices protection groups particularly vulnerable environmental harm participants will understand relationship human rights environmental protection takes place practice course will run 2 weeks week covering one module module   learning objectives well interactive online lessons guide participants contents lessons also available pdf format participants can work offline contents activities practice oriented self assessment approach participants will learn practical examples assignments associated research case scenarios target audience government officials international civil servants lawyers judges ngo representatives academics private sector professionals field international law international organizations overall stakeholders interested learn main aspects human rights environmental protection can benefit course government officials international civil servants lawyers judges ngo representatives academics private sector professionals field international law international organizations overall stakeholders interested learn main aspects human rights environmental protection can benefit course learning objectives identify discuss major concerns related environmental protection iel deliberate potential role human rights efforts protect global environment identify examples good practices ehrs around world explain relevance human rights environmental protection identify main regional tribunals functions evaluate challenges opportunities human rights sdgs areas poverty environment identify value benefits adopting right healthy environment domestic constitutions including potential drawbacks detail sdgs ehrs indigenous people s rights relate differentiate anthropocentrism ecocentrism provide overview climate litigation use human rights effort,3
29,Remote Training on Phone Surveys,reflexivity and adaptation,https://www.unsdglearn.org/courses/remote-training-on-phone-surveys/,due covid 19 global pandemic importance benefits phone surveys increasingly recognized around world however many national statistical offices survey practitioners limited experience conducting phone surveys implementation guidelines lacking phone surveys differ traditional face face interviews many aspects require specific technical skills considerations order yield high quality data background  world bank s living standards measurement study lsms team partnered  mannheim business school mbs  joint program survey methodology jpsm financial support trust fund statistical capacity building tfscb developed training materials serve guide phone survey practitioners training covers stage phone survey life cycle including questionnaire design sampling design use computer assisted telephone interviewing remote data quality monitoring due covid 19 global pandemic importance benefits phone surveys increasingly recognized around world however many national statistical offices survey practitioners limited experience conducting phone surveys implementation guidelines lacking phone surveys differ traditional face face interviews many aspects require specific technical skills considerations order yield high quality data background  world bank s living standards measurement study lsms team partnered  mannheim business school mbs  joint program survey methodology jpsm financial support trust fund statistical capacity building tfscb developed training materials serve guide phone survey practitioners training covers stage phone survey life cycle including questionnaire design sampling design use computer assisted telephone interviewing remote data quality monitoring,4
30,Law of Treaties – Extended Edition,democratic institutions,https://www.unsdglearn.org/courses/law-of-treaties-extended-edition-spring-2022/,international law treaties set international principles rules regulating conclusion procedure treaties well issues operation amendments modifications termination suspension invalidity treaties course designed cover theoretical practical aspects subject starting basic notions sources subjects principles scope application conventions forming base law treaties extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course will receive unitar certificate completion course consists four modules module 1 basic notions sources principles law treaties module 2 conclusion treaties module 3 operation modification termination treaties module 4 invalidity interpretation consequences termination suspension treaties international law treaties set international principles rules regulating conclusion procedure treaties well issues operation amendments modifications termination suspension invalidity treaties course designed cover theoretical practical aspects subject starting basic notions sources subjects principles scope application conventions forming base law treaties extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course will receive unitar certificate completion course consists four modules target audience government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations learning objectives end course will able demonstrate profound understanding key issues international law treaties including knowledge important provisions universal conventions form base international law treaties identify apply rules procedures international law treaties practical cases find relevant sources law build legal arguments analyze interpret international judicial decisions opinions concerning international law treaties apply theoretical knowledge practical skills professional activities fields related law treaties example preparing draft treaty participating negotiations international conferences elaboration adoption international treaty end course will able,3
31,International Law and the United Nations System,democratic institutions,https://www.unsdglearn.org/courses/online-certificate-on-international-law-and-the-united-nations-system/,online certificate international law un system offers unique opportunity students wanting pursue career international law international relations professionals working international regional organizations well governmental non governmental institutions expand knowledge international law multilateral diplomacy united nation system using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels online methodology provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects certificate courses taught purely taught online either moderated senior international expert placing emphasis online discussions self paced learning contain q session senior expert order   awarded online certificate participants required participate successfully complete 2 international law 2 multilateral diplomacy courses offered unitar s division multilateral diplomacy february december 2022 submit final research paper 31 december 2022 e learning courses students can choose international law international law extended edition law treaties extended edition law international organizations extended edition multilateral diplomacy united nations protocol introduction un system public cultural diplomacy online certificate international law un system offers unique opportunity students wanting pursue career international law international relations professionals working international regional organizations well governmental non governmental institutions expand knowledge international law multilateral diplomacy united nation system using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels online methodology provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects certificate courses taught purely taught online either moderated senior international expert placing emphasis online discussions self paced learning contain q session senior expert order   awarded online certificate participants required participate successfully complete 2 international law 2 multilateral diplomacy courses offered unitar s division multilateral diplomacy february december 2022 submit final research paper 31 december 2022 e learning courses students can choose international law multilateral diplomacy target audience online certificate designed government officials diplomats private sector specialists practitioners international arena academics students interested participants online certificate designed government officials diplomats private sector specialists practitioners international arena academics students interested participants learning objectives completing online certificate students will able explain current challenges international affairs diplomacy describe underlying principles international law governing international organisations perform bilateral multilateral working environments increased confidence develop analytical skills critical thinking completing online certificate students will able,3
32,Law of International Organizations – Extended Edition,democratic institutions,https://www.unsdglearn.org/courses/law-of-international-organizations-extended-edition-spring-2022/,international organizations playing increasingly important role international legal order nowadays wield growing normative powers working dealing international organizations sound understanding law international organizations thus appears indispensable unitar s self paced course law international organizations structured way cover main legal questions related international organizations theoretical practical perspective extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course will receive unitar certificate completion course consists four modules module 1 definition principles basic legal issues international organizations module 2 functioning international organizations module 3 international responsibility international organizations module 4 settlement disputes involving international organizations international organizations playing increasingly important role international legal order nowadays wield growing normative powers working dealing international organizations sound understanding law international organizations thus appears indispensable unitar s self paced course law international organizations structured way cover main legal questions related international organizations theoretical practical perspective extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course will receive unitar certificate completion course consists four modules target audience government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations learning objectives end course will able demonstrate profound understanding definition international organization rules principles governing creation structure functioning relationship actors international law primarily exclusively states identify analyze main legal issues related responsibility international organizations differentiate legal regimes governing settlement disputes involving international organizations apply theoretical knowledge acquired course different professional capacities including working international organizations dealing international organizations diplomatic service various ministries non governmental organizations researching international organizations end course will able,3
33,International Criminal Law and Transitional Justice,democratic institutions,https://www.unsdglearn.org/courses/executive-diploma-on-international-criminal-law-and-transitional-justice/,un leadership last 30 years seen remarkable development fight impunity many different accountability mechanisms truth commissions international hybrid tribunals well commissions inquiry fact finding missions investigations established successfully implemented consequence increasing number people around world demanding justice policy makers diplomats levels regions can expect discussions debates topics prepared executive diploma international criminal law transitional justice will provide unique access information perspectives updates analysis accountability mechanisms seeking develop working background topics well already thoroughly versed dynamics five day substantive program spread period one month participants around world will listen analysts academics policy makers international experts gain insight rare first hand knowledge different accountability mechanisms wide range perspectives addition substantive e workshops skills focused modules will provide participants wholistic training experiences allow put substantive knowledge practice un leadership last 30 years seen remarkable development fight impunity many different accountability mechanisms truth commissions international hybrid tribunals well commissions inquiry fact finding missions investigations established successfully implemented consequence increasing number people around world demanding justice policy makers diplomats levels regions can expect discussions debates topics prepared executive diploma international criminal law transitional justice will provide unique access information perspectives updates analysis accountability mechanisms seeking develop working background topics well already thoroughly versed dynamics five day substantive program spread period one month participants around world will listen analysts academics policy makers international experts gain insight rare first hand knowledge different accountability mechanisms wide range perspectives addition substantive e workshops skills focused modules will provide participants wholistic training experiences allow put substantive knowledge practice target audience government officials international civil servants lawyers judges ngo representatives academics private sector professionals field international law international organizations government officials international civil servants lawyers judges ngo representatives academics private sector professionals field international law international organizations learning objectives end programme participants will able explain role un bodies relation human rights violations define transitional justice role un promotion truth justice reparations guarantees non recurrence explain ongoing debates surrounding establishment international criminal courts discuss work permanent international criminal court focus jurisdiction issues admissibility cases complementarity national legal systems discuss perceived crisis international criminal justice indicated imposed sanctions icc prosecutor senior staff identify increasing number cases brought national judiciaries principle universal jurisdiction might mean future international criminal law international criminal justice end programme participants will able,3
34,Infrastructure Asset Management for Sustainable Development,reflexivity and adaptation,https://www.unsdglearn.org/courses/infrastructure-asset-management-for-sustainable-development/,massive open online course mooc self paced course developed united nations department economic social affairs un desa united nations institute training research unitar school international public affairs sipa columbia university course based un publication managing infrastructure assets sustainable development handbook local national governments result joint collaboration un desa uncdf unops handbook includes inputs renowned experts regional development banks local government associations relevant un system entities well think tanks academia handbook provides local national governments set practical tools improve infrastructure asset management well guidance adapt tools socio economic environmental challenges time addresses set key questions assets people need can assets made last longest perform best can potential save generate revenue maximized unlock financial resources community needs now future answers questions lies key ensuring reliability public infrastructure services levels e learning course aims equip policymakers government officials find answers specific national local contexts   makes compelling case ultimately asset management way align strategic planning infrastructure service delivery real world will equip learner rich set tools promote sound forward looking asset management enhances resilience sustainability reliability financial viability infrastructure investments present future generations course divided two parts fundamentals infrastructure asset management sustainable development module 1 4 infocus infrastructure asset management sustainable development module 5 8 fundamentals module 1 basic tenets asset management module 2 dynamics asset management module 3 assessing asset management needs capacity module 4 asset management action plans amaps focus module 5 capturing utilising right data effective asset management module 6 improving climate resilience within asset management systems module 7 strengthening public health emergency preparedness response asset management systems module 8 building national enabling environment asset management download syllabus massive open online course mooc self paced course developed united nations department economic social affairs un desa united nations institute training research unitar school international public affairs sipa columbia university course based un publication managing infrastructure assets sustainable development handbook local national governments result joint collaboration un desa uncdf unops handbook includes inputs renowned experts regional development banks local government associations relevant un system entities well think tanks academia handbook provides local national governments set practical tools improve infrastructure asset management well guidance adapt tools socio economic environmental challenges time addresses set key questions answers questions lies key ensuring reliability public infrastructure services levels e learning course aims equip policymakers government officials find answers specific national local contexts   makes compelling case ultimately asset management way align strategic planning infrastructure service delivery real world will equip learner rich set tools promote sound forward looking asset management enhances resilience sustainability reliability financial viability infrastructure investments present future generations course divided two parts fundamentals infrastructure asset management sustainable development module 1 4 infocus infrastructure asset management sustainable development module 5 8 fundamentals module 1 basic tenets asset management module 2 dynamics asset management module 3 assessing asset management needs capacity module 4 asset management action plans amaps focus module 5 capturing utilising right data effective asset management module 6 improving climate resilience within asset management systems module 7 strengthening public health emergency preparedness response asset management systems module 8 building national enabling environment asset management target audience mooc available interested participants main target groups however central local government officials developing countries asia pacific latin america caribbean africa   central government level target group includes officials ministries finance ministries local governments relevant line ministries e g water health education procurement authorities involved designing asset management policies regulations national level allocating central government grants capital investments local governments local government level target group comprises local officials responsible infrastructure asset management particular technical experts finance procurement engineering water sanitation health education departments well community members ward representatives civil society organizations mooc available interested participants main target groups however central local government officials developing countries asia pacific latin america caribbean africa   central government level target group includes officials ministries finance ministries local governments relevant line ministries e g water health education procurement authorities involved designing asset management policies regulations national level allocating central government grants capital investments local governments local government level target group comprises local officials responsible infrastructure asset management particular technical experts finance procurement engineering water sanitation health education departments well community members ward representatives civil society organizations learning objectives expected end course participants will better positioned describe principles dynamics effective asset management meet asset management framework explain objectives able apply un asset management diagnostic tool describe design implementation asset management action plans amaps able develop one respective national local context recognize benefits effective asset management information system outline steps develop implement one evaluate adapt asset management practices crises climate change public health emergencies explain enabling legislative policy environment national level can support sustain asset management local level expected end course participants will better positioned,4
35,"Policy cycle, integrated approaches and SDGs",policy coherence,https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs/,toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions version generic one available english world wide case studies second version specifically customized african least developed countries ldcs available english french toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions version generic one available english world wide case studies second version specifically customized african least developed countries ldcs available english french target audience government officers un country team media representatives ngos business industry trade unions community leaders academia universities philanthropists youth organizations country based international partners etc learning objectives result training participants better positioned describe core competencies leadership aligned sdgs 2030 agenda identify current capacity gaps localize sdgs national context describe existing mechanisms monitoring evaluation reporting related sdgs national goals explain importance coherence different stages policy cycle provide examples approaches reinforce coherence apply frameworks analytical tools integrated analysis decision making analyze policies programs light key principle agenda 2030 leave one behind promote participatory approaches different stages policy cycle result training participants better positioned,2
36,SEEA Experimental Ecosystem Accounting,reflexivity and adaptation,https://www.unsdglearn.org/courses/seea-experimental-ecosystem-accounting/,seea eea constitutes integrated statistical framework organizing biophysical data measuring ecosystem services tracking changes ecosystem assets linking information economic human activity seea eea complements seea central framework taking different perspective central framework looks individual environmental assets water resources energy resources etc assets move environment economy contrast seea eea takes perspective ecosystems considers individual environmental assets interact part natural processes within given spatial area ecosystem accounting takes spatial approach often utilizing earth observation geospatial data using spatial approach seea eea accounts extent condition ecosystems flow services provided ecosystems contributions benefits ecosystems economic human activity course provides overview seea eea including seea eea can used policy course covers ecosystem extent condition service accounts well accounting biodiversity water carbon course self paced without instruction can taken point time course available english spanish seea eea constitutes integrated statistical framework organizing biophysical data measuring ecosystem services tracking changes ecosystem assets linking information economic human activity seea eea complements seea central framework taking different perspective central framework looks individual environmental assets water resources energy resources etc assets move environment economy contrast seea eea takes perspective ecosystems considers individual environmental assets interact part natural processes within given spatial area ecosystem accounting takes spatial approach often utilizing earth observation geospatial data using spatial approach seea eea accounts extent condition ecosystems flow services provided ecosystems contributions benefits ecosystems economic human activity course provides overview seea eea including seea eea can used policy course covers ecosystem extent condition service accounts well accounting biodiversity water carbon course self paced without instruction can taken point time course available english spanish target audience target audience includes compilers potential compilers seea eea accounts target audience also includes ministries experts provide data used seea eea accounts policy analysts may also find course useful target audience includes compilers potential compilers seea eea accounts target audience also includes ministries experts provide data used seea eea accounts policy analysts may also find course useful learning objectives understand conceptual framework used seea eea learn basic concepts definitions classifications used seea eea understand seea eea contributes developing policies sustainable development,4
37,How to Align Your Business Strategy with the Global Goals,policy coherence,https://www.unsdglearn.org/courses/how-to-align-your-business-strategy-with-the-global-goals/,company looking ways integrate global goals business strategy operations determining starting point company s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session will learn four step approach help get started session will discuss align business strategy operations global goals order maximize positive impact will learn sdg compass success stories businesses company looking ways integrate global goals business strategy operations determining starting point company s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session will learn four step approach help get started session will discuss align business strategy operations global goals order maximize positive impact will learn sdg compass success stories businesses target audience corporate corporate learning objectives completing session related learning materials will learn   understand role business supporting achievement global goals prioritize goals within business operations sector set corporate goals targets adequately ambitious support achievement global goals integrate global goals company s business strategy completing session related learning materials will learn  ,2
38,Integration of the SDGs into National Planning,policy coherence,https://www.unsdglearn.org/courses/integration-of-the-sdgs-into-national-planning/,e learning course integration sdgs national planning developed un escap support policy makers sustainable development practitioners development strategies plans implement 2030 agenda sustainable development sdgs complex aspirational 2030 agenda sustainable development 17 sustainable development goals sdgs require multidisciplinary methods developing implementation strategies indivisible whole nature furthermore 17 sustainable development goals targets closely interlinked require innovative unconventional policy approaches focusing intersections meeting points interlinkages complex causal relationships e learning course deals aspects integration escap methodologies tools aid integrated interlinked policy making process course consists three modules give insights importance integration three dimensions sustainable development provide guidance available tools application policy making implementation first module integration three dimensions sustainable development based un escap publication correlating title integrating three dimensions sustainable development framework tools module defines articulates policy makers essence integration three dimensions sustainable developmentnamely economic social environmental across policy cycle second module systems thinking framework support 2030 agenda sustainable development sdgs provides overview systems thinking methodology school thought step step guide systems thinking modelling examples application countries asia pacific region module also briefly introduces escap experience applying systems thinking sdg integration analysis provides examples case studies contributing partners third module escap s methodology applying systems thinking asia pacific countries integrating sdg 6 national planning describes practical application escap analytical framework integration sdg 6 clean water sanitation 16 sdgs target level builds analytical framework integration water sanitation sdgs targets using systems thinking approach module also describes practical application methodology pilot countries lessons learned e learning course integration sdgs national planning developed un escap support policy makers sustainable development practitioners development strategies plans implement 2030 agenda sustainable development sdgs complex aspirational 2030 agenda sustainable development 17 sustainable development goals sdgs require multidisciplinary methods developing implementation strategies indivisible whole nature furthermore 17 sustainable development goals targets closely interlinked require innovative unconventional policy approaches focusing intersections meeting points interlinkages complex causal relationships e learning course deals aspects integration escap methodologies tools aid integrated interlinked policy making process course consists three modules give insights importance integration three dimensions sustainable development provide guidance available tools application policy making implementation first module integration three dimensions sustainable development based un escap publication correlating title integrating three dimensions sustainable development framework tools module defines articulates policy makers essence integration three dimensions sustainable developmentnamely economic social environmental across policy cycle second module systems thinking framework support 2030 agenda sustainable development sdgs provides overview systems thinking methodology school thought step step guide systems thinking modelling examples application countries asia pacific region module also briefly introduces escap experience applying systems thinking sdg integration analysis provides examples case studies contributing partners third module escap s methodology applying systems thinking asia pacific countries integrating sdg 6 national planning describes practical application escap analytical framework integration sdg 6 clean water sanitation 16 sdgs target level builds analytical framework integration water sanitation sdgs targets using systems thinking approach module also describes practical application methodology pilot countries lessons learned target audience policy makers sdg sd practitioners policy makers sdg sd practitioners learning objectives understand essence integration three dimensions sustainable development gain solid knowledge tools methodologies available apply concepts integration policy making implementation apply system thinking framework sdg integration analysis support 2030 agenda sustainable development overview regional national local level system thinking applications asia pacific countries,2
39,Three Steps to Integrating the Global Goals into Corporate Reporting,policy coherence,https://www.unsdglearn.org/courses/three-steps-to-integrating-the-global-goals-into-corporate-reporting/,interested report sdgs best transparency becoming new paradigm conducting business now moment take company s sustainability reporting next level integrating global goals corporate reporting will help show company making impact tackle world s pressing issues will also help address information needs governments investors stakeholders enhance company s accountability society help experts un global compact shift global reporting initiative gri academy session will guide participants three step approach integrating global goals existing business reporting processes interested report sdgs best transparency becoming new paradigm conducting business now moment take company s sustainability reporting next level integrating global goals corporate reporting will help show company making impact tackle world s pressing issues will also help address information needs governments investors stakeholders enhance company s accountability society help experts un global compact shift global reporting initiative gri academy session will guide participants three step approach integrating global goals existing business reporting processes target audience corporate corporate learning objectives completing session related learning materials will learn understand business value measuring reporting company s impact global goals identify prioritize global goals related targets relevant business act report alignment recognized standards principles particular un guiding principles business human rights gri standards global goals can integrated existing business reporting processes three step approach without creating additional burden company understand governments investors   future information needs related global goals completing session related learning materials will learn,2
40,SEEA: In-depth Training on Water Accounting,reflexivity and adaptation,https://www.unsdglearn.org/courses/seea-in-depth-training-on-water-accounting/,system environmental economic accounts water seea water integrated approach water monitoring bringing together wide range water related statistics across sectors one coherent information system seea water conceptual framework set accounts presents hydrological information alongside economic information consistent way seea water consistent seea central framework follows similar accounting structure system national accounts sna seea water uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea water allows us develop indicators conduct analysis economy environment nexus focus water seea water facilitates better informed decision making particularly integrated water resources management seea water offers means monitoring pressures exerted economy environment terms abstraction water environment impacts terms changes stocks water economy responds terms expenditure environmental protection resource management seea water propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 6 sdgs focuses specifically water includes calls improving water quality reducing pollution eliminating dumping release hazardous materials reducing proportion untreated wastewater increasing recycling safe reuse water seea water methodology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time course available english arabic system environmental economic accounts water seea water integrated approach water monitoring bringing together wide range water related statistics across sectors one coherent information system seea water conceptual framework set accounts presents hydrological information alongside economic information consistent way seea water consistent seea central framework follows similar accounting structure system national accounts sna seea water uses concepts definitions classifications consistent sna order facilitate integration environmental economic statistics seea water allows us develop indicators conduct analysis economy environment nexus focus water seea water facilitates better informed decision making particularly integrated water resources management seea water offers means monitoring pressures exerted economy environment terms abstraction water environment impacts terms changes stocks water economy responds terms expenditure environmental protection resource management seea water propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 6 sdgs focuses specifically water includes calls improving water quality reducing pollution eliminating dumping release hazardous materials reducing proportion untreated wastewater increasing recycling safe reuse water seea water methodology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time course available english arabic target audience target audience includes compilers potential compilers seea water accounts target audience also includes ministries experts provide data used seea water accounts policy analysts working integrated water resources management may also find course useful target audience includes compilers potential compilers seea water accounts target audience also includes ministries experts provide data used seea water accounts policy analysts working integrated water resources management may also find course useful learning objectives understand conceptual framework used seea water learn basic concepts definitions classifications used seea water learn seea water implemented countries understand seea water contributes developing policies integrated water resources management sustainable development,4
41,LEiP,policy coherence,https://www.unsdglearn.org/courses/learning-environment-for-integrated-planning/,unitar  millennium institute jointly developed simulation game called learning environment integrated planning leip based millennium institute s isdg integrated simulation tool learning environment uses multi player asymmetric multi laptop blended approach game simulates investment planning process country achieve selected sdgs exercise instantly demonstrates progress towards selected sdg shows cross sectoral effects well synergies trade offs selected goals leip uses model developed trends characterizing development average ldc sids middle income high income countries unitar  millennium institute jointly developed simulation game called learning environment integrated planning leip based millennium institute s isdg integrated simulation tool learning environment uses multi player asymmetric multi laptop blended approach game simulates investment planning process country achieve selected sdgs exercise instantly demonstrates progress towards selected sdg shows cross sectoral effects well synergies trade offs selected goals leip uses model developed trends characterizing development average ldc sids middle income high income countries target audience government officers international organizations academia universities interested audiences learning objectives key learning objectives include understanding intervention sector can affect performance sectors realizing synergies can emerge joint implementation interventions different areas appreciating importance integrated planning achieving sdgs key learning objectives include,2
42,SEEA: In Depth Training on Energy Accounting,reflexivity and adaptation,https://www.unsdglearn.org/courses/system-of-environmental-economic-accounting-seea-in-depth-training-on-energy-accounting/,system environmental economic accounting energy seea energy multi purpose conceptual framework organizing energy related statistics supports analysis role energy within economy state energy inputs various energy related transactions environmental interest fully consistent seea central framework energy information typically presented physical terms seea energy also applies monetary valuations various stocks flows based seea accounting approach seea energy consistent seea central framework follows similar accounting structure system national accounts sna seea energy uses concepts definitions classifications consistent sna order facilitate integration energy economic statistics seea energy allows us develop indicators conduct analysis economy environment nexus focus energy seea energy facilitates better informed decision making particularly energy policy climate policy natural resource management seea energy offers means monitoring pressures exerted economy environment terms extraction energy environment impacts terms changes stocks energy resources air emissions economy responds terms expenditure environmental protection resource management seea energy propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 7 sdgs focuses specifically energy seea energy methdology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time available english russian arabic system environmental economic accounting energy seea energy multi purpose conceptual framework organizing energy related statistics supports analysis role energy within economy state energy inputs various energy related transactions environmental interest fully consistent seea central framework energy information typically presented physical terms seea energy also applies monetary valuations various stocks flows based seea accounting approach seea energy consistent seea central framework follows similar accounting structure system national accounts sna seea energy uses concepts definitions classifications consistent sna order facilitate integration energy economic statistics seea energy allows us develop indicators conduct analysis economy environment nexus focus energy seea energy facilitates better informed decision making particularly energy policy climate policy natural resource management seea energy offers means monitoring pressures exerted economy environment terms extraction energy environment impacts terms changes stocks energy resources air emissions economy responds terms expenditure environmental protection resource management seea energy propose particular indicators instead holistic multi purpose information system can generate wide range statistics indicators varying potential analytical applications example goal 7 sdgs focuses specifically energy seea energy methdology can play important role measuring targets providing framework development indicators course self paced without instruction can taken point time available english russian arabic target audience target audience includes compilers potential compilers seea energy accounts target audience also includes ministries experts provide data used seea energy accounts e g energy statistics energy balances policy analysts particularly working energy climate change policy may also find course useful target audience includes compilers potential compilers seea energy accounts target audience also includes ministries experts provide data used seea energy accounts e g energy statistics energy balances policy analysts particularly working energy climate change policy may also find course useful learning objectives understand conceptual framework used seea energy learn basic concepts definitions classifications used seea energy understand relationship energy statistics balances seea energy understand seea energy contributes developing sustainable energy policies,4
