id,titles,category,website,description,major_categ
67,Planning for Climate Change in African Cities,reflexivity and adaptation,,climate change poses threat economic growth long term prosperity many countries around world africa exception considering actual potential impacts climate change climate variability will threaten vulnerable sectors human populations african countries projected experience changing rainfall patterns rising sea levels higher temperatures will affect food security agricultural production water availability public health among others climate change impacts climate variability can produce social political problems rural urban migration water resource disputes furthermore low levels development many african countries well limited institutional infrastructural technical capacities respond successfully climate change impacts climate variability can exacerbate situation terms contribution greenhouse gas ghg emissions although african countries lightest polluters also become apparent alternative energy sources can offset increasing energy demand dependence biomass addressing climate change offers possibilities low carbon development moreover promising mechanisms can address climate change actions development goals simultaneously city level strengthening resilience ability respond absorb effects hazardous event timely efficient manner sustain ability future adaptation process adjusting actual expected climate change stimuli effects forefront planning local governments important role play provision adequate infrastructure regulation land use public services crucial urban resilience mobilizing local governments collaboration national governments non governmental organizations international organizations among others also critical integrated multi sectoral approach climate change course planning climate change african cities provides foundation understanding cities<U+393C><U+3E32> exposure sensitivity climate change cities can manage impacts face growing uncertainty introducing basic concepts urban resilience adaptation using illustrative case studies different african cities furthermore module provides lectures different approaches climate change planning whether ad hoc strategic mainstreaming introduces different steps planning cycle <U+393C><U+3E36> initial assessment monitoring evaluation presents different decision support assessment tools prioritizing climate change actions course broadens discussion planning climate change engaging learners apply knowledge practice decision making skills simulated exercise line development minimizes harm caused climate change impacts maximizing many human development opportunities presented resilient future ask connections urban risk vulnerability climate change urban resilience conceptualized applied practice policies measures introduced address climate change finally choose among different measures address climate change adaptation urban resilience development objectives course objectives end course learners able <U+393C><U+3E35> recognize effects impacts drivers climate change cities <U+393C><U+3E35> understand drivers urban risk vulnerability context climate change <U+393C><U+3E35> distinguish typologies approaches tensions climate change adaptation <U+393C><U+3E35> explain different approaches steps climate change planning <U+393C><U+3E35> examine decision support assessment tools climate change <U+393C><U+3E35> develop climate change plan based participants<U+393C><U+3E32> city contexts,4
68,Principles of Sustainable Finance,reflexivity and adaptation,,finance widely seen obstacle better world principles sustainable finance explains financial sector can mobilized counter using finance means achieve social goals can divert planet economy current path world sustainable throughout course will learn un sustainable development goals social environmental factors regarded externalities will learn sustainable banking asset management effective engagement sustainable scenario analysis long term value creation end course will understand sustainable finance can used tool steer sustainability transition,4
69,Greening the Economy: Lessons from Scandinavia,policy coherence,,can live good life one planet seven billion people course will explore greening economy four levels <U+393C><U+3E36> individual business city nation will look relationships levels give many practical examples complexities solutions across levels scandinavia pioneering place advancing sustainability combating climate change unique starting point learning greening economy will learn many initiatives attempted scandinavia since 1970s potentially helpful useful countries contexts international institute industrial environmental economics iiiee lund university international centre excellence strategies sustainable solutions iiiee ideally suited understand explain interdisciplinary issues green economies utilising diverse disciplinary backgrounds international staff iiiee researching teaching sustainability greener economies since 1990s extensive international networks connecting variety organizations,2
70,Introduction to Environmental Law and Policy,democratic institutions,,environmental law may one institution standing us planetary exhaustion also institution needs reconciled human liberty economic aspirations course considers issues provides tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses environmental risk note the<U+613C><U+3E30>environmental law policy course will close new learner enrollment february 22 2019 learners already enrolled will continue see coursera dashboard long remain enrolled course currently enrolled course please see announcement sent february 19 2019 additional details,3
71,Climate Change Mitigation in Developing Countries,democratic institutions,,course challenges consider one might lift societies poverty also mitigating greenhouse gas emissions explore inherent complexity developing country governments wanting grow economies climate friendly way will introduced approach address challenge approach consists facilitated process whereby academic researchers high level influential actors within society co produce knowledge will track process four latin american countries brazil chile colombia peru south africa will hear various professionals contexts different challenges opportunities process includes course will cover topics facilitation process techniques energy modeling scenario building innovation policy making will opportunity respond topics ideas reflection context whether climate change practitioner work development simply curious climate mitigation understood course will give insights complexity countries south pursue development goals addressing climate mitigation course free enroll take will offered option purchasing certificate completion become eligible successfully complete course requirements can excellent way staying motivated financial aid also available,3
72,Climate Change and Water in Mountains: A Global Concern,policy coherence,,climate change mountain regions affected evolution water resources uses kind risks need considered mountains recognized particularly sensitive physical environments intense rapid changes past may increasingly future place pressure resource base context team roughly 100 experts worked 2008 2013 european acqwa project www acqwa ch coordinated university geneva primary objectives project assess impacts changing climate quantity quality water originating mountain regions particularly snow ice melt represent large sometimes largest streamflow component objective project determine potential disruptions water dependent economic activities related climate impacts hydrological systems propose portfolio possible adaptation strategies particular mooc inspired acqwa project offers better understanding climate change impacts quality quantity water mountain regions risks related changing water resources interdisciplinary perspective participation twenty five instructors five different countries switzerland england south korea india nepal fourteen institutions unige rts unifr uzh ethz meteodat gmbh wgms imperial college london agroscope r<U+653C><U+3E39>publique et canton de gen<U+653C><U+3E38>ve yonsei university ihcap icimod sdc foen highlights diversity theoretical practical viewpoints related issues end course will able define general concept climate change mountain regions understand concepts associated climate change adaptation water governance strategies consider impacts climate change water resources mountain regions identify impacts climate change hydropower agriculture aquatic ecosystems health enumerate risks can occur mountain areas lead disruptions water availability use acquired knowledge will evaluated multiple choice quizzes end unit course mooc <U+393C><U+3E33>climate change water mountain regions global concern<U+393C><U+3E34> initiated financed university geneva institute environmental sciences look forward joining us,2
73,"Our Earth: Its Climate, History, and Processes",participation,,develop greater appreciation air water land life formed interacted last 4 5 billion years,1
74,Ecology: Ecosystem Dynamics and Conservation,reflexivity and adaptation,,course introduction ecology ecosystem dynamics using systems thinking lens case study mozambique s gorongosa national park learners will explore scientists study ecosystems investigate complex array factors inform management efforts end course learners will able grapple real world conservation questions whether ecosystem can recover anthropogenic disruption role humans can play recovery,4
75,Introduction to the Arctic: Climate,reflexivity and adaptation,,university alberta university tromso university arctic invite explore four week course examines environment climate circumpolar north course result international collaboration provides insight planet s north following overview regional geography will focus cryosphere ice well atmosphere ocean region will learn arctic cold ice covered impacts climate ecosystems will also consider arctic connected rest world finally will examine present day climate change processes driving evidence arctic looking implications rapidly evolving north watch preview course https uofa ualberta ca courses arctic climate,4
76,Frozen in the Ice: Exploring the Arctic,reflexivity and adaptation,,hundreds scientists around world intentionally freeze ship arctic sea ice entire year braving subzero temperatures months polar darkness may sound like fictional adventure movie plot september 2019 october 2020 mosaic multidisciplinary drifting observatory study arctic climate arctic research expedition just course you<U+393C><U+3E32>ll hear directly mosaic scientists arctic experts describe expedition key increasing understanding arctic global climate systems kinds data will collecting mosaic ice sea air course kicks content around arctic geography climate exploration history walks learners basics components arctic system atmosphere ocean sea ice ecosystems will also learn data collected mosaic will used improve climate model projections finally will wrap course exploring challenges new arctic faces including indigenous peoples arctic impacted different ways changing arctic environment,4
77,Our Earth's Future,participation,,earth<U+393C><U+3E32>s future science climate change talk will learn scientists fields climatology oceanography earth science anthropology study climate change affecting people populations ways life explore multiple lines evidence human induced climate change happening today consider means future planet end course will able understand key scientific principles identify address misconceptions contribute confidently conversations climate change,1
78,Climate Adaptation in Africa,reflexivity and adaptation,,course explores climate change adaptation important african context africa considered one one vulnerable regions climate change historically climate related hazards drought flooding pest disease outbreaks coastal storms heat waves devastating impacts people environment live often damage knocks back progress made social economic development slowing achievement development goals climate models suggest many climatic hazards will intensify global climate warms building resilience climate risks adaptation critically important future development africa course will examine adaptation theory practice focus four sectors critically important climate resilient development africa water security agriculture food security ecosystems ecosystem services resilient cities,4
79,Global Warming II: Create Your Own Models in Python,reflexivity and adaptation,,class provides series python programming exercises intended explore use numerical modeling earth system climate sciences scientific background models presented companion class global warming science modeling climate change class assumes new python programming indeed great way learn python will able pick elementary knowledge python syntax another class line tutorials,4
80,Biosphere 2 Science for the Future of Our Planet,democratic institutions,,ready take incredible journey around planet earth beyond course will delve world innovative science learn team biosphere 2 university arizona researchers plants soils oceans rainforests moon mars course exciting opportunity anyone interested science earth stewardship learn unique research station arizona desert used investigate big ideas earth systems interact effects climate change future holds go back time thousands years information locked ancient trees travel imagined future humans become martians collect analyze scientific data discuss big questions participants around world gain novel insights understanding wonderfully unique planet,3
81,Introduction to Sustainability,policy coherence,,course introduces academic approach sustainability explores today<U+393C><U+3E32>s human societies can endure face global change ecosystem degradation resource limitations course focuses key knowledge areas sustainability theory practice including population ecosystems global change energy agriculture water environmental economics policy ethics cultural history subject vital importance seeking uncover principles long term welfare peoples planet sustainability cross disciplinary field study foundation requires intellectual breadth describe class text understanding motivations requires humanities measuring challenges sustainability requires knowledge sciences natural social building solutions requires technical insight systems provided engineering planning management,2
82,"The Sustainable Development Goals <U+0096> A global, transdisciplinary vision for the future",reflexivity and adaptation,,2015 un launched 17 sustainable development goals sdgs adopted 193 member states goals represent important international step setting humanity trajectory towards sustainable development within course will get historical overview sustainability understood well thorough introduction sdgs <U+393C><U+3E36> progress can measured sdgs relevant management global systems supporting humanity course will examine various societal actors responding implementing sdgs sdgs essential sustainable development sdg 13 climate action usually perceived urgent terms need swift implementation global scale therefore particular focus given sdg course will gain date knowledge current understanding human impacts earth planetary level progress towards establishing global management human interactions climate system within united nations framework convention climate change unfccc also discussed course designed taught professor katherine richardson member 15 person panel appointed un general secretary 2016 write 2019 global sustainable development report lecture katherine interviews experts provide insights relevant topic hand,4
83,The Age of Sustainable Development,participation,,age sustainable development gives students understanding key challenges pathways sustainable development economic development also socially inclusive environmentally sustainable,1
84,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,policy coherence,,we<U+393C><U+3E32>re excited you<U+393C><U+3E32>re course <U+393C><U+3E33>beyond sustainable development goals sdgs addressing sustainability development <U+393C><U+3E34> first course sustainability development mastertrack<U+613C><U+3E65> certificate can also take course stand alone learning opportunity sustainability development pose unprecedented challenges human societies grow seek ensure future wellbeing prosperity course we<U+393C><U+3E32>ll focus addressing twin challenges sustainability development actionable knowledge innovating solutions world<U+393C><U+3E32>s pressing problems like climate change poverty inequality biodiversity loss ecosystem degradation rather sustainability qualifier development e g sustainable development conceptualize sustainability development co equal fields inquiry action seek build bridges natural social applied sciences humanities sustainability development placed equal footing requires us think explicitly trade offs co benefits synergies will exploring depth week throughout course will introduced theoretical currents sustainability development will garner depth understanding united nations<U+393C><U+3E32> 17 sustainable development goals sdgs will also consider methods skills necessary designing innovative solutions sustainability development problems emerging field sustainability science course will explore three pressing challenges undergirding sustainable development goals sdgs including climate change poverty inequality ecosystem degradation biodiversity loss case studies guide challenge thinking final week course will discuss trade offs co benefits synergies challenges especially relate designing innovative solutions achieving sustainability development goals end course will able 1 understand explain world<U+393C><U+3E32>s pressing problems specific focus poverty inequality ecosystem degradation biodiversity loss climate change 2 critically analyze sustainable development goals sdgs relationship world<U+393C><U+3E32>s pressing problems 3 use frameworks evidence necessary develop solutions 4 assess relevant solutions help realize sdgs time solve pressing problems 5 apply skills learned implement solutions,2
85,"Sustainable Business: Big Issues, Big Changes",reflexivity and adaptation,,class 3 mooc specialization become sustainable business change agent class looks big issues companies fixing climate change water worker satisfaction supply chain issues will learn tools help company address issues intelligently class ends assignment set science based carbon reduction target small company tis absolutely cutting edge material 300 companies whole world july 2017 put company elite group knowledge tools acquired 3 classes specialization well way making difference company making future brighter everyone thank part program,4
86,NA,participation,,NA,1
87,Environmental Management & Ethics,participation,,decision makers often turn scientists engineers assist navigate complex environmental health societal challenges pervaded systemic uncertainty ambiguity ethical implications course prepares meet requests demands current future decision makers course will analyze ethical challenges associated environmental dilemmas apply different decision making tools relevant environmental management regulation,1
88,From Climate Science to Action,democratic institutions,,part world faces specific vulnerabilities climate change different opportunities mitigate effects build resilience 21st century ratification paris agreement many countries acceded act combatting climate change indeed without climate action decades sustainable development risk thus making <U+393C><U+3E31>make break<U+393C><U+3E32> point time showcasing recent scientific evidence explaining different regional impacts divulging climate action strategies along interactive tools carbon footprint tracker ndc platform mooc provides opportunities can take action climate change course action oriented mooc gives opportunity learn regional climate change impacts sector specific strategies increase resilience move towards low carbon future will opportunity explore issues depth tailor learning experience one following regions <U+393C><U+3E35> latin america caribbean <U+393C><U+3E35> sub saharan africa <U+393C><U+3E35> middle east north africa <U+393C><U+3E35> eastern europe central asia <U+393C><U+3E35> east asia pacific <U+393C><U+3E35> south asia endeavor mooc brings together renowned scientists policymakers provide synthesis recent scientific evidence climate change regional low emissions climate resilient development strategies across sectors team expert instructors will lead discussions around paris agreement reflections cop22 progress nationally determined contributions ndcs course syllabus overview <U+393C><U+3E31>from climate science action<U+393C><U+3E32> divided four weeks first two weeks will provide comprehensive overview scientific evidence climate change followed region specific insights impacts warmer world 21st century last two weeks will focus action strategies undertaken different regions countries meet climate challenge individual can take action avoid warmer world week 1 climate change 21st century <U+393C><U+3E35> historical projected observed changes climate system leading end 21st century <U+393C><U+3E35> potential intended nationally determined contributions indcs submitted cop 21 187 countries induce climate action <U+393C><U+3E35> trends climate change impacts including loss arctic sea ice melting glaciers increased heat waves extreme temperatures drought aridity <U+393C><U+3E35> possible responses natural systems explaining warming result sea level rise heat waves extreme temperatures ocean acidification week 2 sectoral regional impacts <U+393C><U+3E35> impacts key development sectors<U+393C><U+3E37>from warming pre industrial temperatures projected climate trends<U+393C><U+3E37>across world<U+393C><U+3E32>s regions <U+393C><U+3E35> sectoral impacts focusing agricultural production water resources ecosystem services coastal vulnerability affected populations <U+393C><U+3E35> importance risks potential reverse hard won development gains potentially trap millions poverty illustrating need urgent action now week 3 science action climate change <U+393C><U+3E35> region specific discussions mitigation actions needed reduce emissions decreasing vulnerability climate change impacts adaptation building climate resilience <U+393C><U+3E35> perspectives regional experts experiences strategies actions proposed region help transition towards low emissions climate resilient development path <U+393C><U+3E35> discussions progress nationally determined contributions ndcs outcomes paris agreement reflections conference parties cop 22 week 4 can <U+393C><U+3E35> transformative impact day day changes brought global scale <U+393C><U+3E35> rationale acting now acting together acting differently <U+393C><U+3E35> examples expected benefits mitigation adaptation policies considering contributions global emission reductions local development opportunities addition core resources assignments may choose go engaging fun optional exercises networking discussion diving deeper rich selection supplemental resources will opportunity explore issues depth tailor learning experience one following regions <U+393C><U+3E35> latin america caribbean <U+393C><U+3E35> sub saharan africa <U+393C><U+3E35> middle east north africa <U+393C><U+3E35> eastern europe central asia <U+393C><U+3E35> east asia pacific <U+393C><U+3E35> south asia course format mooc week week structure resources activities exercises engage four weeks course week will find variety course material including <U+393C><U+3E35> interactive video talks renowned climate scientists practitioners <U+393C><U+3E35> interactive tools carbon footprint tracker ndc platform <U+393C><U+3E35> resources core optional deep dive fun interactives week<U+393C><U+3E32>s theme <U+393C><U+3E35> quizzes check knowledge reinforce lesson<U+393C><U+3E32>s material provide immediate feedback <U+393C><U+3E35> assignments will sharpen skills analysis reflection communication <U+393C><U+3E35> discussion forums social media enable collaboration others around world enriching interaction among participants <U+393C><U+3E35> final project will create digital artifact can also go much engaging optional exercises networking discussion forums dive deeper rich selection additional resources also will use e discussions tools facilitate dialogue learners experts recommended background background knowledge necessary content course designed accessible students discipline connect communicate share resources via twitter using hashtag learnclimate sign free account http twitter com,3
89,"Act on Climate: Steps to Individual, Community, and Political Action",democratic institutions,,concerned climate change like learn address respond challenge course act climate steps individual community political action intended help learners understand address respond climate change individuals partnership communities political leaders course focuses translate learning action climate change areas food energy transportation built environment cities course co developed taught michaela zint professor environmental education communication university michigan students range academic climate change experts professional leaders featured result completing course will able 1 identify individual community political actions can engage effectively address respond climate change 2 describe insights social sciences can employed create change individual community political levels 3 feel empowered continue influence community political leaders address respond climate change use umichactonclimate social media share re connect learners,3
90,Global Environmental Management,policy coherence,,learn best environmental technologies sustainable development managed various settings around world course gives opportunity learn global trends influence environment living conditions different management systems approaches used around world manage environment includes current environmental technologies built environment technologies sustainable soil management groundwater protection methods integrated water resources management,2
91,Global Energy and Climate Policy,policy coherence,,global energy climate policy course offers introduction theoretical practical understanding energy climate change policies designed shaped advocated implemented energy markets go truly global domestic energy policies becoming entangled wider issues international governance concurrently urgent need mitigate adapt climate change transition low carbon future adding layer complexity course aimed broadly people interested learning interconnected issues energy climate policy globally assumes level interest necessary previous knowledge however course also offers sufficient date research new critical perspectives interest people expertise academic familiarity topic well main aim course provide wide ranging introduction self contained depth form alongside important practical skills necessary understand discuss energy climate policy lay groundwork greater engagement future <U+393C><U+3E36> either academic study public private profit sectors,2
92,Our Energy Future,democratic institutions,,course designed introduce students issues energy 21st century <U+393C><U+3E36> including food fuels <U+393C><U+3E36> inseparably linked <U+393C><U+3E36> will discuss energy production utilization biology engineering economics climate science social science perspectives course will cover current production utilization energy well consequences use examining finite fossil energy reserves food energy linked impacts environment climate social economic impacts present energy food production use introductory lectures will examine emerging field sustainable energy fuel food production emphasizing importance developing energy efficient sustainable methods production new technologies can contribute replacing diminishing supplies fossil fuels reduce consequences carbon dioxide release environment course will also cover importance creating sustainable energy future societies including developing world lectures will prepared delivered leading uc san diego scripps institution oceanography faculty industry professionals across areas expertise,3
93,Ecological and Energy Transitions in Southern Countries,democratic institutions,,agence fran<U+653C><U+3E37>aise de d<U+653C><U+3E39>veloppement ecole normale sup<U+653C><U+3E39>rieure launching fourth edition mooc <U+393C><U+3E33>ecological energy transitions southern countries edition will launched simultaneously 4 languages <U+623C><U+3E37><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30> english ecological energy transitions southern countries <U+623C><U+3E37><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30> french transitions <U+653C><U+3E39>nerg<U+653C><U+3E39>tique et <U+653C><U+3E39>cologique dans les pays du sud https www coursera org learn transitions energetiques pays du sud <U+623C><U+3E37><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30><U+613C><U+3E30> spanish transiciones energ<U+653C><U+3E39>ticas y ecol<U+663C><U+3E33>gicas en los pa<U+653C><U+3E64>ses del sur https www coursera org learn transiciones energeticas y ecologicas en los paises del sur portuguese transi<U+653C><U+3E37><U+653C><U+3E33>o energ<U+653C><U+3E39>tica e ecol<U+663C><U+3E33>gica em pa<U+653C><U+3E64>ses sul https www coursera org learn transiao energtica e ecologica em paises sul mooc junction development southern countries sustainable development 1 macroeconomic financial dimension developed gael giraud alain grandjean 2 ecological climatic dimension developed david claessen ens speakers 3 focus southern countries developed afd speakers learning goals entire training program goal 1 able understand relationship energy transition ecological transition role energy economy economic development model financing issues goal 2 know advocate lobby issues need change reality order implement strategies action plans goal 3 able make link energy transition financing solutions comprehension action one questions imperative need ensure development based personal well fair distribution wealth challenges transition now development northern countries based increasing exploitation energy resources greater freedom trade exchange global scale now know model longer sustainable due global warming overexploitation resources lead health social environmental disasters role developing countries mind can ensure fair equitable growth role countries different regions south play complete upheaval current economic trade political models order achieve effective energy ecological transition mooc respond questions free online training offers complementary perspectives several specialists issues related climate change development southern countries will share practical understanding current crises answers can provided participants will learn studies <U+393C><U+3E35> researchers prestigious <U+633C><U+3E39>cole normale sup<U+653C><U+3E39>rieure paris <U+393C><U+3E35> field experts agence fran<U+653C><U+3E37>aise de d<U+653C><U+3E39>veloppement funding agency committed helping developing countries 75 years <U+393C><U+3E35> carbone 4 founder alain grandjean will share experience particular economic financial aspects program 1 development model ecologically unsustainable 2 dominant economic models hinder energy ecological transition 3 energy transition path decarbonizing gdp 4 model ecological transition new prosperity 5 governance energy ecological transition 6 financing energy ecological transition,3
94,SDG Primer,policy coherence,,2030 agenda sustainable development constitutes paradigm shift requires understanding articulating narrative around meaning value sustainable development sustainable development goals interrelate across various sectors will take achieve sdg primer resulted collaborative effort undertaken united nations sustainable development group assembled relevant thinking insights around key global national sdg related challenges developed support unssc unitar sdsn undco sdg primer lays urgency action required actors countries foundational characteristics universal integrated framework specific actions can take better support countries governments take approximately 3 hours complete sdg primer course available two languages english arabic 2030 agenda sustainable development constitutes paradigm shift requires understanding articulating narrative around meaning value sustainable development sustainable development goals interrelate across various sectors will take achieve sdg primer resulted collaborative effort undertaken united nations sustainable development group assembled relevant thinking insights around key global national sdg related challenges developed support unssc unitar sdsn undco sdg primer lays take approximately 3 hours complete sdg primer course available two languages english arabic target audience general audience anyone interested working sdgs welcome join general audience anyone interested working sdgs welcome join learning objectives end sdg primer learners will ability will act decisively realize agenda<U+393C><U+3E32>s transformative vision remain elusive learners will learn sdg framework can help countries reframe challenges contexts analyse connections across goals sectors design innovative solutions manage harness connections chart transformative pathways development systems sustainable resilient future uncertainties learners will learn sdgs come life primary implementing agents national governments signatories 2030 agenda learners will learn vital points connection opportunities collaboration covering key actors roles end sdg primer,2
95,"Policy cycle, integrated approaches and SDGs",policy coherence,,toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions version generic one available english world wide case studies second<U+613C><U+3E30>version specifically customized african least developed countries ldcs available english french toolkit developed unitar collaboration un family explains theory practical implications behind policy integration leave one behind imperatives based improved understanding aims support harmonized approaches towards incorporating sdgs across national policy cycle integrated planning aligned budgeting frameworks monitoring evaluation m e systems reviews reporting toolkit available two versions version generic one available english world wide case studies second<U+613C><U+3E30>version specifically customized african least developed countries ldcs available english french target audience government officers un country team media representatives ngos business industry trade unions community leaders academia universities philanthropists youth organizations country based international partners etc learning objectives result training participants better positioned describe core competencies leadership aligned sdgs 2030 agenda identify current capacity gaps localize sdgs national context describe existing mechanisms monitoring evaluation reporting related sdgs national goals explain importance coherence different stages policy cycle provide examples approaches reinforce coherence apply frameworks analytical tools integrated analysis decision making analyze policies programs light key principle agenda 2030 <U+393C><U+3E33>leave one behind<U+393C><U+3E34> promote participatory approaches different stages policy cycle result training participants better positioned,2
96,SEEA Experimental Ecosystem Accounting,reflexivity and adaptation,,seea eea constitutes integrated statistical framework organizing biophysical data measuring ecosystem services tracking changes ecosystem assets linking information economic human activity seea eea complements seea central framework taking different perspective central framework looks <U+393C><U+3E33>individual environmental assets<U+393C><U+3E34> water resources energy resources etc assets move environment economy contrast seea eea takes perspective ecosystems considers individual environmental assets interact part natural processes within given spatial area ecosystem accounting takes spatial approach often utilizing earth observation geospatial data using spatial approach seea eea accounts extent condition ecosystems flow services provided ecosystems contributions benefits ecosystems economic human activity course provides overview seea eea including seea eea can used policy course covers ecosystem extent condition service accounts well accounting biodiversity water carbon course self paced without instruction can taken point time course available english spanish seea eea constitutes integrated statistical framework organizing biophysical data measuring ecosystem services tracking changes ecosystem assets linking information economic human activity seea eea complements seea central framework taking different perspective central framework looks <U+393C><U+3E33>individual environmental assets<U+393C><U+3E34> water resources energy resources etc assets move environment economy contrast seea eea takes perspective ecosystems considers individual environmental assets interact part natural processes within given spatial area ecosystem accounting takes spatial approach often utilizing earth observation geospatial data using spatial approach seea eea accounts extent condition ecosystems flow services provided ecosystems contributions benefits ecosystems economic human activity course provides overview seea eea including seea eea can used policy course covers ecosystem extent condition service accounts well accounting biodiversity water carbon course self paced without instruction can taken point time course available english spanish target audience target audience includes compilers potential compilers seea eea accounts target audience also includes ministries experts provide data used seea eea accounts policy analysts may also find course useful target audience includes compilers potential compilers seea eea accounts target audience also includes ministries experts provide data used seea eea accounts policy analysts may also find course useful learning objectives understand conceptual framework used seea eea learn basic concepts definitions classifications used seea eea understand seea eea contributes developing policies sustainable development,4
97,In Practice: Aligning Your Business with the Global Goals,policy coherence,,company looking impactful ways integrate global goals business strategy operations academy session will discuss common questions companies provide practical examples leading companies align business strategies operations global goals order maximize positive impact company looking impactful ways integrate global goals business strategy operations academy session will discuss common questions companies provide practical examples leading companies align business strategies operations global goals order maximize positive impact target audience corporate corporate learning objectives completing session related learning materials will learn prioritize global goals within business operations sector set corporate goals targets adequately ambitious support achievement global goals integrate global goals company<U+393C><U+3E32>s business strategy completing session related learning materials will learn,2
98,How to Align Your Business Strategy with the Global Goals,policy coherence,,company looking ways integrate global goals business strategy operations determining starting point company<U+393C><U+3E32>s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session will learn four step approach help get started session will discuss align business strategy operations global goals order maximize positive impact will learn sdg compass success stories businesses company looking ways integrate global goals business strategy operations determining starting point company<U+393C><U+3E32>s efforts advance 2030 agenda 17 global goals 169 targets may seem like challenging task companies often wonder prioritize different goals many target academy session will learn four step approach help get started session will discuss align business strategy operations global goals order maximize positive impact will learn sdg compass success stories businesses target audience corporate corporate learning objectives completing session related learning materials will learn <U+613C><U+3E30> understand role business supporting achievement global goals prioritize goals within business operations sector set corporate goals targets adequately ambitious support achievement global goals integrate global goals company<U+393C><U+3E32>s business strategy completing session related learning materials will learn <U+613C><U+3E30>,2
99,Integration of the SDGs into National Planning,policy coherence,,e learning course integration sdgs national planning developed un escap support policy makers sustainable development practitioners development strategies plans implement 2030 agenda sustainable development sdgs complex aspirational 2030 agenda sustainable development 17 sustainable development goals sdgs require multidisciplinary methods developing implementation strategies <U+393C><U+3E33>indivisible whole<U+393C><U+3E34> nature furthermore 17 sustainable development goals targets closely interlinked require innovative unconventional policy approaches focusing intersections meeting points interlinkages complex causal relationships e learning course deals aspects <U+393C><U+3E32>why<U+393C><U+3E32> <U+393C><U+3E31>how<U+393C><U+3E32> integration escap methodologies tools aid integrated interlinked policy making process course consists three modules give insights importance integration three dimensions sustainable development provide guidance available tools application policy making implementation first module integration three dimensions sustainable development based un escap publication correlating title <U+393C><U+3E36> integrating three dimensions sustainable development framework tools module defines articulates policy makers essence integration three dimensions sustainable developmentnamely economic social environmental across policy cycle second module systems thinking framework support 2030 agenda sustainable development sdgs provides overview systems thinking methodology school thought step step guide systems thinking modelling examples application countries asia pacific region module also briefly introduces escap experience applying systems thinking sdg integration analysis provides examples case studies contributing partners third module escap<U+393C><U+3E32>s methodology applying systems thinking asia pacific countries integrating sdg 6 national planning describes practical application escap analytical framework integration sdg 6 clean water sanitation 16 sdgs target level builds analytical framework integration water sanitation sdgs targets using systems thinking approach module also describes practical application methodology pilot countries lessons learned e learning course integration sdgs national planning developed un escap support policy makers sustainable development practitioners development strategies plans implement 2030 agenda sustainable development sdgs complex aspirational 2030 agenda sustainable development 17 sustainable development goals sdgs require multidisciplinary methods developing implementation strategies <U+393C><U+3E33>indivisible whole<U+393C><U+3E34> nature furthermore 17 sustainable development goals targets closely interlinked require innovative unconventional policy approaches focusing intersections meeting points interlinkages complex causal relationships e learning course deals aspects <U+393C><U+3E32>why<U+393C><U+3E32> <U+393C><U+3E31>how<U+393C><U+3E32> integration escap methodologies tools aid integrated interlinked policy making process course consists three modules give insights importance integration three dimensions sustainable development provide guidance available tools application policy making implementation first module integration three dimensions sustainable development based un escap publication correlating title <U+393C><U+3E36> integrating three dimensions sustainable development framework tools module defines articulates policy makers essence integration three dimensions sustainable developmentnamely economic social environmental across policy cycle second module systems thinking framework support 2030 agenda sustainable development sdgs provides overview systems thinking methodology school thought step step guide systems thinking modelling examples application countries asia pacific region module also briefly introduces escap experience applying systems thinking sdg integration analysis provides examples case studies contributing partners third module escap<U+393C><U+3E32>s methodology applying systems thinking asia pacific countries integrating sdg 6 national planning describes practical application escap analytical framework integration sdg 6 clean water sanitation 16 sdgs target level builds analytical framework integration water sanitation sdgs targets using systems thinking approach module also describes practical application methodology pilot countries lessons learned target audience policy makers sdg sd practitioners policy makers sdg sd practitioners learning objectives understand essence integration three dimensions sustainable development gain solid knowledge tools methodologies available apply concepts integration policy making implementation apply system thinking framework sdg integration analysis support 2030 agenda sustainable development overview regional national local level system thinking applications asia pacific countries,2
