id,titles,category,description,major_categ,au_category
104,labour productivity and income of small-scale food producers,reflexivity and adaptation,"course   developed  support countries  computing  monitoring indicators 2 3 1  2 3 2   2030 sustainable development goals labour productivity  income  small scale food producers   facilitate  understanding   main concepts underpinning  methodology 
 course consists  five lessons ranging  approximately 15  30 minutes duration  
lesson 1 introduction   sdg indicators 2 3 1  2 3 2
lesson 2 identifying small scale food producers
lesson 3 computing indicators 2 3 1  2 3 2
lesson 4 collecting data
lesson 5 applying  content
watch  video  find   https youtu  jaw9ke7rjoy
											
							download syllabus
							
									  course   developed  support countries  computing  monitoring indicators 2 3 1  2 3 2   2030 sustainable development goals labour productivity  income  small scale food producers   facilitate  understanding   main concepts underpinning  methodology  course consists  five lessons ranging  approximately 15  30 minutes duration  watch  video  find   https youtu  jaw9ke7rjoy 
					target audience
					 course  primarily intended  professionals  play  role   data collection analysis  reporting  sdg indicators 2 3 1  2 3 2  includes 
policy makers  advisors
statisticians
representatives  ngos regional organizations academia researchers   donor community 
  course  primarily intended  professionals  play  role   data collection analysis  reporting  sdg indicators 2 3 1  2 3 2  includes 
					learning objectives
					  learn  
nature  importance   role  small scale food producers 
rationale  indicators 2 3 1  2 3 2 within  2030 agenda 
main tools  measure  indicators 2 3 1  2 3 2 
methodology  perform data collection identification   national target population  computation   indicators 
 types  data required   computation  indicators 2 3 1  2 3 2  critical data gaps   addressed 
   learn",4,un
106,law of international organizations extended edition,democratic institutions,international organizations playing increasingly important role international legal order nowadays wield growing normative powers working dealing international organizations sound understanding law international organizations thus appears indispensable unitar s self paced course law international organizations structured way cover main legal questions related international organizations theoretical practical perspective extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course  receive unitar certificate completion course consists four<U+613C><U+3E30>modules module 1 definition principles basic legal issues international organizations module 2 functioning international organizations module 3 international responsibility international organizations module 4 settlement disputes involving international organizations international organizations playing increasingly important role international legal order nowadays wield growing normative powers working dealing international organizations sound understanding law international organizations thus appears indispensable unitar s self paced course law international organizations structured way cover main legal questions related international organizations theoretical practical perspective extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course  receive unitar certificate completion course consists four<U+613C><U+3E30>modules target audience government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations learning objectives end course  able demonstrate profound understanding definition international organization rules principles governing creation structure functioning relationship actors international law primarily exclusively states identify analyze main legal issues related responsibility international organizations differentiate legal regimes governing settlement disputes involving international organizations apply theoretical knowledge acquired course different professional capacities including working international organizations dealing international organizations diplomatic service various ministries non governmental organizations researching international organizations end course  able,3,un
107,law of treaties extended edition,democratic institutions,international law treaties set international principles rules regulating conclusion procedure treaties well issues operation amendments modifications termination suspension invalidity treaties course designed cover theoretical practical aspects subject starting basic notions sources subjects principles scope application conventions forming base law treaties extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course  receive unitar certificate completion course consists four<U+613C><U+3E30>modules module 1 basic notions sources principles law treaties module 2 conclusion treaties module 3 operation modification termination treaties module 4 invalidity interpretation consequences termination suspension treaties international law treaties set international principles rules regulating conclusion procedure treaties well issues operation amendments modifications termination suspension invalidity treaties course designed cover theoretical practical aspects subject starting basic notions sources subjects principles scope application conventions forming base law treaties extended edition unitar s traditional online course offers participants chance ask questions high level expert q webinar participants successfully meet minimum passing requirements end course  receive unitar certificate completion course consists four<U+613C><U+3E30>modules target audience government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations government officials international civil servants lawyers judges ngo representatives academics law students private sector professionals field international law international organizations learning objectives end course  able demonstrate profound understanding key issues international law treaties including knowledge important provisions universal conventions form base international law treaties identify apply rules procedures international law treaties practical cases find relevant sources law build legal arguments analyze interpret international judicial decisions opinions concerning international law treaties apply theoretical knowledge practical skills professional activities fields related law treaties example preparing draft treaty participating negotiations international conferences elaboration adoption international treaty end course  able,3,un
108,leip,policy coherence,"unitar u 00a0  millennium institute  jointly developed  simulation game called learning environment  integrated planning leip based   millennium institute s isdg integrated simulation tool  learning environment uses  multi player asymmetric multi laptop blended approach  game simulates  investment planning process   country  achieve selected sdgs  exercise instantly demonstrates progress towards  selected sdg  shows cross sectoral effects  well  synergies  trade offs   selected goals  leip uses  model developed  trends characterizing  development   average ldc sids middle income  high income countries 
									 unitar u 00a0  millennium institute  jointly developed  simulation game called learning environment  integrated planning leip based   millennium institute s isdg integrated simulation tool  learning environment uses  multi player asymmetric multi laptop blended approach  game simulates  investment planning process   country  achieve selected sdgs  exercise instantly demonstrates progress towards  selected sdg  shows cross sectoral effects  well  synergies  trade offs   selected goals  leip uses  model developed  trends characterizing  development   average ldc sids middle income  high income countries 
					target audience
					government officers 
international organizations 
academia  universities 
  interested audiences 
 
					learning objectives
					 key learning objectives include 
understanding   intervention   sector can affect performance   sectors 
realizing  synergies can emerge   joint implementation  interventions  different areas 
appreciating  importance  integrated planning  achieving  sdgs 
  key learning objectives include",2,un
110,m.a. development studies and diplomacy,democratic institutions,"master  arts  development studies  diplomacy   interdisciplinary  holistic programme     broaden student s knowledge   field  development studies sustainability  diplomacy    also equip    required soft skills   successful international career     areas  expertise   offered  online   hybrid format   upeace campus  costa rica   programme students  analyse  different dimensions  development including environmental social economic  human dimensions  well   theory  practice  diplomacy   21st century students  also attend skills development sessions   designed  support  professional career  employability careers   field can   broad prospective employers include governments international organizations development agencies academia   private sector 
 following documentation  required  complete  application process please   ready   hand  beginning  online application process    need   uploaded   system required supporting documents   uploaded 
english proficiency test scores report toefl ielts 
statement  purpose letters  recommendation
official undergraduate bachelor s degree transcripts  degree certificate
curriculum vitae  resume
copy  passport front page  photo  
passport size photo
students can obtain  ma  international law  diplomacy online upon successful completion  42 credits including 36 credits  course work  6 credits   final independent research project 
starting date 
hybrid format 23 august 2021
online format 6 september 2021
end date
hybrid june 2022
online february 2023
registration deadline
hybrid 30 may 2021
online 15 august 2021

							download syllabus
							
									  master  arts  development studies  diplomacy   interdisciplinary  holistic programme     broaden student s knowledge   field  development studies sustainability  diplomacy    also equip    required soft skills   successful international career     areas  expertise   offered  online   hybrid format   upeace campus  costa rica   programme students  analyse  different dimensions  development including environmental social economic  human dimensions  well   theory  practice  diplomacy   21st century students  also attend skills development sessions   designed  support  professional career  employability careers   field can   broad prospective employers include governments international organizations development agencies academia   private sector  following documentation  required  complete  application process please   ready   hand  beginning  online application process    need   uploaded   system required supporting documents   uploaded students can obtain  ma  international law  diplomacy online upon successful completion  42 credits including 36 credits  course work  6 credits   final independent research project starting date end date registration deadline 
					target audience
					 programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private sector specialists willing  strengthen  knowledge  development studies sustainability international affairs management  diplomacy 
				  programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private sector specialists willing  strengthen  knowledge  development studies sustainability international affairs management  diplomacy 
					learning objectives
					  end   programme students  
  deep understanding   theory  practice  development studies international cooperation  sustainable development
 able  evaluate  different dimensions  development
  deep understanding   theory  practice  diplomacy
 able  appraise  nexus  diplomacy  un system  contemporary challenges
 able  apply key soft skills   international working environment 
   end   programme students",3,un
111,m.a. in international law and diplomacy,democratic institutions,"master  arts  international law  diplomacy online  hybrid formats   graduate programme permitting students  specialize   interface  international law  diplomacy     broaden students knowledge   field  international law   various foundational dimensions   also equip   knowledge  skills  work   field  diplomacy  related international careers 
  programme students  analyse  different dimensions  international law including  related  law making armed conflicts human rights economic relations territorial  maritime disputes environmental disputes  well   related   theory  practice  diplomacy   21st century including dispute settlement  conflict resolution students  also attend skills development sessions   designed  support  professional career  employability  master s degree offered  two un entities university  peace  united nations institute  training  research combines  best  academic  executive style education students  also gain first hand experience   work   united nations un      opportunity  participate   field trip  geneva   hague   un maintains  significant presence 
 following documentation  required  complete  application process please   ready   hand  beginning  online application process    need   uploaded   system required supporting documents   uploaded 
english proficiency test scores report toefl ielts 
statement  purpose
letters  recommendation
official undergraduate bachelor s degree transcripts  degree certificate
curriculum vitae  resume
copy  passport front page  photo  
passport size photo
students can obtain  ma  international law  diplomacy online upon successful completion  42 credits including 36 credits  course work  6 credits   final independent research project 
start date 
online 4 july 2022
hybrid 29 august 2022
end date 
online 17 may 2024
hybrid 17 may 2024
registration deadline 15 june 2022
											
							download syllabus
							
									  master  arts  international law  diplomacy online  hybrid formats   graduate programme permitting students  specialize   interface  international law  diplomacy     broaden students knowledge   field  international law   various foundational dimensions   also equip   knowledge  skills  work   field  diplomacy  related international careers   programme students  analyse  different dimensions  international law including  related  law making armed conflicts human rights economic relations territorial  maritime disputes environmental disputes  well   related   theory  practice  diplomacy   21st century including dispute settlement  conflict resolution students  also attend skills development sessions   designed  support  professional career  employability  master s degree offered  two un entities university  peace  united nations institute  training  research combines  best  academic  executive style education students  also gain first hand experience   work   united nations un      opportunity  participate   field trip  geneva   hague   un maintains  significant presence  following documentation  required  complete  application process please   ready   hand  beginning  online application process    need   uploaded   system required supporting documents   uploaded students can obtain  ma  international law  diplomacy online upon successful completion  42 credits including 36 credits  course work  6 credits   final independent research project start date end date registration deadline 15 june 2022 
					target audience
					 programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private law practitioners willing  strengthen  knowledge  international law dispute settlement international affairs management  diplomacy 
				  programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private law practitioners willing  strengthen  knowledge  international law dispute settlement international affairs management  diplomacy 
					learning objectives
					  end   programme students  
  deep understanding   theory  practice  international law 
 able  participate  different processes  law making implementing  enforcement  promoting  rule  law  different levels especially regional  international 
  deep understanding   theory  practice  diplomacy 
 able  appraise  nexus  international law diplomacy  un system  current contemporary challenges 
 able  apply key soft skills   international working environment 
   end   programme students",3,un
112,ma development studies and diplomacy,democratic institutions,"master  arts  development studies  diplomacy   interdisciplinary  holistic programme     broaden student s knowledge   field  development studies sustainability  diplomacy    also equip    required soft skills   successful international career     areas  expertise   offered  online  face  face   upeace campus  costa rica   programme students  analyse  different dimensions  development including environmental social economic  human dimensions  well   theory  practice  diplomacy   21st century students  also attend skills development sessions   designed  support  professional career  employability careers   field can   broad prospective employers include governments international organizations development agencies academia   private sector 
									  master  arts  development studies  diplomacy   interdisciplinary  holistic programme     broaden student s knowledge   field  development studies sustainability  diplomacy    also equip    required soft skills   successful international career     areas  expertise   offered  online  face  face   upeace campus  costa rica   programme students  analyse  different dimensions  development including environmental social economic  human dimensions  well   theory  practice  diplomacy   21st century students  also attend skills development sessions   designed  support  professional career  employability careers   field can   broad prospective employers include governments international organizations development agencies academia   private sector 
					target audience
					 programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private sector specialists willing  strengthen  knowledge  development studies sustainability international affairs management  diplomacy 
				  programme  designed  graduate students diplomats government officers ngo representatives international civil servants  private sector specialists willing  strengthen  knowledge  development studies sustainability international affairs management  diplomacy 
					learning objectives
					  end   master student  
  deep understanding   theory  practice  development studies international cooperation  sustainable development 
 able  evaluate  different dimensions  development 
  deep understanding   theory  practice  diplomacy 
 able  appraise  nexus  diplomacy  un system  current contemporary challenges 
 able  apply key soft skills   international working environment 
   end   master student",3,un
117,master in international affairs and diplomacy,democratic institutions,"provide  description   course giving  clear overview   goals subject matter instructors schedule requirements etc maximum  1500 characters including spaces 
 master s programme  strengthen  performance  multilateral settings foster  understanding  international relations  leverage  career perspectives  connecting  high level representatives diplomats academics   experts  receive  master s degree  international affairs  diplomacy issued   uoc  partnership  unitar students must complete  following courses equivalent  60 ects 
unitar courses
introduction   un system
conflict resolution  crisis management
international diplomacy theory  practice
overcoming negotiation deadlocks
public diplomacy   multipolar world
field visit  geneva switzerland optional 
uoc courses
international law  institutions
international relations system  theories
international political economy
european union  world politics
latin america  world politics
eastern asia  world politics
africa  world politics
middle east  world politics
research methods course
master thesis
internship optional 
students  also   opportunity  immerse     heart  diplomacy  optional field trip  geneva switzerland 5 days   organised    wish  gain expertise  well  skills   domain  multilateral diplomacy 
start date 
17 march 2021
 u 00b7 end date
16 march 2022 full time 
15 march 2023 part time 
registration deadline 
3 march 2021 full time 
3 march 2021 part time 

							download syllabus
							
									 provide  description   course giving  clear overview   goals subject matter instructors schedule requirements etc maximum  1500 characters including spaces  master s programme  strengthen  performance  multilateral settings foster  understanding  international relations  leverage  career perspectives  connecting  high level representatives diplomats academics   experts  receive  master s degree  international affairs  diplomacy issued   uoc  partnership  unitar students must complete  following courses equivalent  60 ects unitar courses uoc courses students  also   opportunity  immerse     heart  diplomacy  optional field trip  geneva switzerland 5 days   organised    wish  gain expertise  well  skills   domain  multilateral diplomacy start date u 00b7 end date registration deadline 
					target audience
					 master  international affairs  diplomacy  aimed  diplomats  well  staff  governmental  non governmental organisations additionally  master s degree  related qualifications  open  graduate students young researchers   academics interested  gaining  thorough understanding  diplomacy  international relations  acquiring soft skills  thrive   careers 
				  master  international affairs  diplomacy  aimed  diplomats  well  staff  governmental  non governmental organisations additionally  master s degree  related qualifications  open  graduate students young researchers   academics interested  gaining  thorough understanding  diplomacy  international relations  acquiring soft skills  thrive   careers 
					learning objectives
					  end   master s programme students   able  
develop  critical understanding  key issues  concepts  world affairs 
demonstrate  comprehensive substantive  practical knowledge  international relations  diplomacy 
develop analytical skills  critical thinking 
improve research  drafting skills 
perform   bilateral  multilateral working environments  increased confidence 
   end   master s programme students   able",3,un
120,national disaster risk reduction strategies,democratic institutions,"pursuit   goal requires strategic inclusive    society approaches reflecting  foundational requirement sendai framework global target e calls  u 0093 substantially increase  number  countries  national  local disaster risk reduction strategies  2020 u 0094 target e  shared  indicators  sdg 1  calls   end  poverty sdg 11  sustainable cities  communities  sdg 13  climate action 1
national  local disaster risk reduction strategies  essential  implementing  monitoring  country s risk reduction priorities  setting implementation milestones establishing key roles  responsibilities  government  nongovernment actors  identifying technical  financial resources  order  implement  priorities   set   achieve  need   supported   well coordinated institutional architecture legislative mandates political buy   decision makers  human  financial capacities   levels  society 
											
							download syllabus
							
									 pursuit   goal requires strategic inclusive    society approaches reflecting  foundational requirement sendai framework global target e calls  u 0093 substantially increase  number  countries  national  local disaster risk reduction strategies  2020 u 0094 target e  shared  indicators  sdg 1  calls   end  poverty sdg 11  sustainable cities  communities  sdg 13  climate action 1 national  local disaster risk reduction strategies  essential  implementing  monitoring  country s risk reduction priorities  setting implementation milestones establishing key roles  responsibilities  government  nongovernment actors  identifying technical  financial resources  order  implement  priorities   set   achieve  need   supported   well coordinated institutional architecture legislative mandates political buy   decision makers  human  financial capacities   levels  society 
					target audience
					national government   relevant stakeholders 
				 national government   relevant stakeholders 
					learning objectives
					understand  develop disaster risk informed policies  coherence  climate change   sustainable development measures 
",3,un
121,national metadata for sdgs,reflexivity and adaptation,"2030 agenda  sustainable development adopted   united nations member states  2015 sets forth  global vision  2030   heart   17 sustainable development goals sdgs  provide  benchmarks    achieved  2030  order  leave  one behind  robust follow   review mechanism   implementation   2030 agenda requires  solid framework  indicators  statistical data  monitor progress inform policy  ensure accountability   stakeholders   global  national level  global indicator framework consisting  169 targets  242 indicators  adopted   general assembly  2017 
  national level  2030 agenda encourages member states  conduct regular  inclusive reviews  progress   national  sub national levels   country led  country driven  united nations statistics division  working closely  national actors  well  international partners  build capacity  countries  reporting   sdg indicators using national indicator frameworks 
national metadata   important element  better understanding   sdg indicator   collected processed  disseminated  global metadata set can  used  guidance  source  processing information   different   country    data source definitions  concepts may also vary    important  sensitise  user   
   e learning course    compile national metadata   sdgs  introducing  sdgs overall  key metadata concepts  provides guidance    fill  metadata template  sdg indicators  e learning course  based  trainings    conducted  part   unsd dfid project  sdg monitoring 
 course  self paced without instruction  can  taken   point  time 
									  2030 agenda  sustainable development adopted   united nations member states  2015 sets forth  global vision  2030   heart   17 sustainable development goals sdgs  provide  benchmarks    achieved  2030  order  leave  one behind  robust follow   review mechanism   implementation   2030 agenda requires  solid framework  indicators  statistical data  monitor progress inform policy  ensure accountability   stakeholders   global  national level  global indicator framework consisting  169 targets  242 indicators  adopted   general assembly  2017   national level  2030 agenda encourages member states  conduct regular  inclusive reviews  progress   national  sub national levels   country led  country driven  united nations statistics division  working closely  national actors  well  international partners  build capacity  countries  reporting   sdg indicators using national indicator frameworks national metadata   important element  better understanding   sdg indicator   collected processed  disseminated  global metadata set can  used  guidance  source  processing information   different   country    data source definitions  concepts may also vary    important  sensitise  user      e learning course    compile national metadata   sdgs  introducing  sdgs overall  key metadata concepts  provides guidance    fill  metadata template  sdg indicators  e learning course  based  trainings    conducted  part   unsd dfid project  sdg monitoring  course  self paced without instruction  can  taken   point  time 
					target audience
					 target audience  experts   responsible  providing data  metadata  one   national sdg indicators 
 course can also  useful   wider audience   interested  learn   metadata   sdg context 
				  target audience  experts   responsible  providing data  metadata  one   national sdg indicators  course can also  useful   wider audience   interested  learn   metadata   sdg context 
					learning objectives
					better understand key concepts around metadata particularly related   sdgs
learn   fill  sdg metadata template
better understand  importance  metadata  help explain  data  potential differences  data 
",4,un
124,nature-based solutions for disaster and climate resilience,participation,"u 0091 nature based solutions  nbs  can  help build resilience  disasters  climate change impacts   nbs relevant  can  apply nbs   work  everyday life   u 0091 nature based solutions  nbs  can  help build resilience  disasters  climate change impacts   nbs relevant  can  apply nbs   work  everyday life environmental experts activists human activities  ecological systems nature   solution  climate impacts combatting  climate crisis nature offers many solutions  reducing  impacts  disasters  climate impacts  may include protecting forests  steep slopes maintaining sand dunes along coastlines wetlands  buffer excess rainwater   called u 0091 nature based solutions nbs   important piece   puzzle  building  resilience  households  communities   ever increasing number  disaster events around  world  years experience  evidence  nbs  around  world   growing  many people  policy makers   engineers  businesses don t yet know  nbs can help  solve  challenges  re facing  events like floods heatwaves  droughts  events affect  lives  millions  people every year    u 0091 nature based solutions  nbs  can  help build resilience  disasters  climate change impacts   nbs relevant  can  apply nbs   work  everyday life 
  online course unep  environmental experts  around  world  provide   answers   questions reaching       planners policy makers engineers businesses  youth    opportunity    join  community  learners  environmental advocates first touching upon  u 0093  u 0094  course provides  introduction  nature based solutions  disaster  climate resilience  benefits  potential opportunities  specific modules aimed  different target audiences  focus   practical application  nature based solutions  u 0093  u 0094    course aimed  nature based solutions  relevant  everyone    benefit  seeing  applied    mind  course  designed   accessible  everyone  matter  background   end   course   learn   apply nature based solutions  enhancing resilience  disasters  climate change whether    youth leader practitioner policy maker engineer  business owner  human activities  interlinked  ecological systems  main tools  approaches  applying nature based solutions  reducing disaster  climate risks  policy makers  including nature   solution  policy processes  reducing disaster  climate risks  practitioners  applying nature based solutions  reducing risks  natural hazards  investing  restoration  protection  green infrastructure  designing  nature   viable complement  grey engineered protection structures  reducing impacts  disaster events  young people  teachers policy makers practitioners businesses  engineers can   get involved   race   climate emergency  course  developed   partnership  environment  disaster risk reduction pedrr   united nations environment programme unep  support   european commission   hosted   sdg academy u 00a0 u 00a0 u 00a0 u 00a0 nature offers many solutions  reducing  impacts  disasters  climate impacts  may include protecting forests  steep slopes maintaining sand dunes along coastlines wetlands  buffer excess rainwater   called u 0091 nature based solutions nbs   important piece   puzzle  building  resilience  households  communities   ever increasing number  disaster events around  world  years experience  evidence  nbs  around  world   growing  many people  policy makers   engineers  businesses don t yet know  nbs can help  solve  challenges  re facing  events like floods heatwaves  droughts  events affect  lives  millions  people every year    u 0091 nature based solutions  nbs  can  help build resilience  disasters  climate change impacts   nbs relevant  can  apply nbs   work  everyday life 
  online course unep  environmental experts  around  world  provide   answers   questions reaching       planners policy makers engineers businesses  youth    opportunity    join  community  learners  environmental advocates first touching upon  u 0093  u 0094  course provides  introduction  nature based solutions  disaster  climate resilience  benefits  potential opportunities  specific modules aimed  different target audiences  focus   practical application  nature based solutions  u 0093  u 0094    course aimed  nature based solutions  relevant  everyone    benefit  seeing  applied    mind  course  designed   accessible  everyone  matter  background   end   course   learn  course  developed   partnership  environment  disaster risk reduction pedrr   united nations environment programme unep  support   european commission   hosted   sdg academy u 00a0 u 00a0 u 00a0 u 00a0 policymakers  professionals including risk reduction climate change experts environmental managers ngos  local government  well  decision makers  international national  local levels engineers urban planners u 00a0 including architects geographers  urban designers businesses including banking insurance  corporate social responsibility managers parents teachers students interested  nature based solutions  increasing disaster  climate resilience unit 1    topic relevant   unit 2   nature based solutions unit 3 nature based solutions applied  pressing challenges urbanization coastal development  drylands expansion unit 4 including communities youth  indigenous people  nature based solutions unit 5  policy  practice unit 6  business case  nature based solutions unit 7    time  action",1,un
125,official statistics for sdgs,reflexivity and adaptation,"course comprises five lessons  lesson comprises 40 slides   explanations  first lesson introduces fundamental key words prerequisite  understanding official statistics u 00a0 including definition  rationale lesson 2 provides  overview  organizations  production dissemination  coordination  official statistics lesson 3 introduces quality  communication  official statistics lesson 4 outlines statistical methodologies whose standards guidelines  manuals  compiled internationally  last lesson
picks   examples  official statistics   used  compilation  sdg indicators 
									  course comprises five lessons  lesson comprises 40 slides   explanations  first lesson introduces fundamental key words prerequisite  understanding official statistics u 00a0 including definition  rationale lesson 2 provides  overview  organizations  production dissemination  coordination  official statistics lesson 3 introduces quality  communication  official statistics lesson 4 outlines statistical methodologies whose standards guidelines  manuals  compiled internationally  last lesson
picks   examples  official statistics   used  compilation  sdg indicators 
					target audience
					target  early career staff  statistical offices  users  official statistics   interest     produced neither formal education  statistical theory  experience   statistical office   prerequisite   course though prior knowledge  statistical methods  aid understanding 
				 target  early career staff  statistical offices  users  official statistics   interest     produced neither formal education  statistical theory  experience   statistical office   prerequisite   course though prior knowledge  statistical methods  aid understanding 
					learning objectives
					  end   course   expected  
understand fundamental knowledge  official statistics
understand   compile  monitor sustainable development goal sdg indicators  official statistics
   end   course   expected",4,un
127,online diploma in multilateral diplomacy,democratic institutions,using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels <U+613C><U+3E30><U+613C><U+3E30>e learning<U+613C><U+3E30>provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects <U+613C><U+3E30> awarded online diploma participants required participate succesfully complete<U+613C><U+3E30>4 6 online courses offered unitar s multilateral diplomacy programme unit february<U+613C><U+3E30>2020<U+613C><U+3E30> november<U+613C><U+3E30>2020 submit final research paper e learning courses students can choose public cultural diplomacy diplomacy 4 0 cosmopolitan communication art speechwriting united nations protocol overcoming negotiation deadlocks courses last 4 6 weeks average workload individual course 5 8 study hours per week final requirement obtain online diploma multilateral diplomacy  submission research paper 3 000 5 000 words using internet based training unitar brings participants trainers together unique virtual learning environment courses build unitar s wealth experience designing implementing training workshops diplomacy multilateral affairs country regional levels <U+613C><U+3E30><U+613C><U+3E30>e learning<U+613C><U+3E30>provides specific advantages geographically time constrained individuals obtain valuable information day day operations future projects <U+613C><U+3E30> awarded online diploma participants required participate succesfully complete<U+613C><U+3E30>4 6 online courses offered unitar s multilateral diplomacy programme unit february<U+613C><U+3E30>2020<U+613C><U+3E30> november<U+613C><U+3E30>2020 submit final research paper e learning courses students can choose courses last 4 6 weeks average workload individual course 5 8 study hours per week final requirement obtain online diploma multilateral diplomacy  submission research paper 3 000 5 000 words target audience online diploma designed government officials diplomats private sector specialists practitioners international arena academics students interested participants online diploma designed government officials diplomats private sector specialists practitioners international arena academics students interested participants learning objectives completing diploma students able demonstrate comprehensive substantive practical knowledge current challenges international affairs diplomacy perform bilateral multilateral working environments increased confidence develop analytical skills critical thinking advance career acquisition skills highly valued international working environment completing diploma students able,3,un
128,online diploma in multilateral diplomacy 2022   edition 2,democratic institutions,"using internet based training unitar brings  trainers together   unique virtual learning environment  courses build  unitar s wealth  experience  designing  implementing training workshops  diplomacy  multilateral affairs   country  regional levels u 00a0 u 00a0 e learning u 00a0 provides specific advantages  geographically  time constrained individuals  obtain valuable information   day  day operations  future projects 
 u 00a0  awarded  online diploma  required  participate  succesfully complete u 00a0 4   6 online courses offered  unitar s multilateral diplomacy programme unit  february u 00a0 2020 u 00a0  november u 00a0 2020  submit  final research paper 
 e learning courses  students can choose   
public  cultural diplomacy
diplomacy 4 0
cosmopolitan communication
 art  speechwriting
united nations protocol
overcoming negotiation deadlocks
 courses last  4  6 weeks  average workload   individual course  5 8 study hours per week 
 final requirement  obtain  online diploma  multilateral diplomacy    submission   research paper   3 000  5 000 words 
									 using internet based training unitar brings  trainers together   unique virtual learning environment  courses build  unitar s wealth  experience  designing  implementing training workshops  diplomacy  multilateral affairs   country  regional levels u 00a0 u 00a0 e learning u 00a0 provides specific advantages  geographically  time constrained individuals  obtain valuable information   day  day operations  future projects  u 00a0  awarded  online diploma  required  participate  succesfully complete u 00a0 4   6 online courses offered  unitar s multilateral diplomacy programme unit  february u 00a0 2020 u 00a0  november u 00a0 2020  submit  final research paper  e learning courses  students can choose    courses last  4  6 weeks  average workload   individual course  5 8 study hours per week  final requirement  obtain  online diploma  multilateral diplomacy    submission   research paper   3 000  5 000 words 
					target audience
					 online diploma  designed  government officials diplomats private sector specialists practitioners   international arena academics students   interested 
				  online diploma  designed  government officials diplomats private sector specialists practitioners   international arena academics students   interested 
					learning objectives
					 completing  diploma students   able  
demonstrate  comprehensive substantive  practical knowledge   current challenges  international affairs  diplomacy 
perform   bilateral  multilateral working environments  increased confidence 
develop analytical skills  critical thinking 
advance  career   acquisition  skills   highly valued   international working environment 
  completing  diploma students   able",3,un
