"","titles","max.col","authors","au_category"
"358","civil registration and vital statistics systems","democratic_keystems",NA,NA
"359","seea for policy makers","democratic_keystems",NA,NA
"360","introduction to data governance for monitoring the sdgs","reflex_adpt_keystems","UNITAR","un"
"361","compilation and application of environmentally extended supply-use tables","democratic_keystems","United Nations Economic Commission for Africa","un"
"362","evaluation of  public policies and programmes","reflex_adpt_keystems","Brazilian Institute of Geography and Statistics",NA
"363","fundamental principles of the official statistics","participation_keystems","Brazilian Institute of Geography and Statistics",NA
"364","sdg indicator 2.1.1 - prevalence of undernourishment (pou)","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"365","introduction to index insurance","participation_keystems",NA,NA
"366","introduction to standards and sustainability","participation_keystems",NA,NA
"367","introduction to sustainable development goal indicators under fao custodianship","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"368","e-training on gdp re-basing","democratic_keystems","United Nations Economic Commission for Africa","un"
"369","follow-up and review (fur) and the voluntary national review (vnr)","participation_keystems","United Nations Economic and Social Commission for Asia and the Pacific","un"
"370","national disaster risk reduction strategies","democratic_keystems","UN Office for Disaster Risk Reduction","un"
"371","sdg indicator 14.b.1 - securing sustainable small-scale fisheries","reflex_adpt_keystems","Food and Agriculture Organization of the United Nations","un"
"372","raising ambition - how to set science-based targets aligning with 1.5<u+00b0>c pathways","reflex_adpt_keystems","UNGCA","un"
"373","public-private-partnerships (ppp)","participation_keystems",NA,NA
"374","labor market information: household labor force surveys","reflex_adpt_keystems","U.S. Bureau of Labor Statistics",NA
"375","statistical methods for correcting selection bias","reflex_adpt_keystems","Data-Pop Alliance","research  policy institutes"
"376","web data collection and analysis","reflex_adpt_keystems","Data-Pop Alliance","research  policy institutes"
"377","strategic planning for territorial development and the 2030 agenda","participation_keystems","United Nations Economic Commission for Latin America  and the Caribbean","un"
"378","machine learning on satellite imagery","reflex_adpt_keystems","Data-Pop Alliance","research  policy institutes"
"379","extractive sector: sustainability and development in latin america and the caribbean","democratic_keystems",NA,NA
"380","partnerships: a vehicle for sustainable development","participation_keystems",NA,NA
"381","introductory training on youth, peace and security","participation_keystems",NA,NA
"382","united nations development assistance framework (undaf)","participation_keystems",NA,NA
