"","titles","description"
"81","Administrative Records Quality Assessment Tool (HECRA)","At the end of the course, the participants will value the importance of the quality of administrative information to produce quality statistical and geographic information, to strengthen decision-making. Likewise, they will identify the main methodological characteristics of the Administrative Records Quality Assessment Tool (HECRA) and of the system developed for its application, reaching the required knowledge to participate in evaluation and quality improvement actions of the administrative records used in the generation of statistical and geographic information.
											
							Download syllabus
							
									, At the end of the course, the participants will value the importance of the quality of administrative information to produce quality statistical and geographic information, to strengthen decision-making. Likewise, they will identify the main methodological characteristics of the Administrative Records Quality Assessment Tool (HECRA) and of the system developed for its application, reaching the required knowledge to participate in evaluation and quality improvement actions of the administrative records used in the generation of statistical and geographic information., 
					Target audience
					Personnel of the State Units that generate or use administrative records to produce statistical or geographic information with basic knowledge in:
Statistical or geographic information generation processes from the use of administrative records.
Use of computer equipment and internet browsing.
				, Personnel of the State Units that generate or use administrative records to produce statistical or geographic information with basic knowledge in:, Statistical or geographic information generation processes from the use of administrative records., Use of computer equipment and internet browsing., 
					Learning objectives
					Objectives:
Evaluate and improve the quality of the Administrative Records to be used for statistical purposes.
Detect problems and opportunities for improvement of the records analyzed.
Identify and analyze the causes of problems.
Implement corrective and preventive action plans.
, Objectives:"
"82","Regulations of the National System of Statistical and Geographic Information","INEGI, within the framework of the attributions assigned to it by the Law of the National Statistical and Geographic Information System (LSNIEG) in Article 36, promotes a training and updating program aimed at public servants of the State Units, on the provisions regulations and knowledge of the National Statistical and Geographical Information System (SNIEG), to disseminate and provide the necessary tools for its application.
The Regulations of the National System of Statistical and Geographical Information (SNIEG) is one of the topics included in the training and updating actions for public servants of the State Units, as well as all the regulatory provisions approved by the INEGI Governing Board, and which are registered in the Regulatory Compilation System on the SNIEG web site.
											
							Download syllabus
							
									, INEGI, within the framework of the attributions assigned to it by the Law of the National Statistical and Geographic Information System (LSNIEG) in Article 36, promotes a training and updating program aimed at public servants of the State Units, on the provisions regulations and knowledge of the National Statistical and Geographical Information System (SNIEG), to disseminate and provide the necessary tools for its application., The Regulations of the National System of Statistical and Geographical Information (SNIEG) is one of the topics included in the training and updating actions for public servants of the State Units, as well as all the regulatory provisions approved by the INEGI Governing Board, and which are registered in the Regulatory Compilation System on the SNIEG web site., 
					Target audience
					Public servants of the State Units (administrative areas that have attributions to develop statistical and geographic activities or that have administrative records that allow obtaining Information of National Interest).
				, Public servants of the State Units (administrative areas that have attributions to develop statistical and geographic activities or that have administrative records that allow obtaining Information of National Interest)., 
					Learning objectives
					Agenda and Specific Objectives
1. Background
At the end of the topic, the participants will identify the importance of the regulations for the generation of official statistical and geographic information in Mexico through the different periods and how this experience is expressed in the current normative development of the SNIEG.
2. The regulations in the official national statistical and geographic information systems
At the end of the topic, the participants will identify the importance of the adoption of the best conceptual, technical and methodological practices regarding the organization, operation, production and dissemination of statistics and geographic information in the National Information Systems in the countries.
3. The Regulations within the framework of the National System of Statistical and Geographic Information
Different regulatory instruments will be identified for the activities to generate statistical and geographic information, as well as the classification of the Provisions issued by the Governing Board within the framework of the System, as the basis for providing coherence and promoting the proper operation and functioning of the SNIEG.
4. The Rules to establish the Regulations of the National System of Statistical and Geographic Information
Participants will identify the elements that regulate the Rules to establish the Regulations of the National Statistical and Geographic Information System, by determining and describing the types of regulatory provisions of the SNIEG, procedures for their approval and the Regulatory Compilation System so that they understand the role they play in the functioning and operation of the System.
5. The current and historical regulations of the SNIEG
Participants will identify the current and historical regulatory provisions approved by the INEGI Governing Board, by describing each of them by type, in order to understand the role they play in the functioning and operation of the SNIEG.
				, Agenda and Specific Objectives, 1. Background
At the end of the topic, the participants will identify the importance of the regulations for the generation of official statistical and geographic information in Mexico through the different periods and how this experience is expressed in the current normative development of the SNIEG., 2. The regulations in the official national statistical and geographic information systems
At the end of the topic, the participants will identify the importance of the adoption of the best conceptual, technical and methodological practices regarding the organization, operation, production and dissemination of statistics and geographic information in the National Information Systems in the countries., 3. The Regulations within the framework of the National System of Statistical and Geographic Information
Different regulatory instruments will be identified for the activities to generate statistical and geographic information, as well as the classification of the Provisions issued by the Governing Board within the framework of the System, as the basis for providing coherence and promoting the proper operation and functioning of the SNIEG., 4. The Rules to establish the Regulations of the National System of Statistical and Geographic Information
Participants will identify the elements that regulate the Rules to establish the Regulations of the National Statistical and Geographic Information System, by determining and describing the types of regulatory provisions of the SNIEG, procedures for their approval and the Regulatory Compilation System so that they understand the role they play in the functioning and operation of the System., 5. The current and historical regulations of the SNIEG
Participants will identify the current and historical regulatory provisions approved by the INEGI Governing Board, by describing each of them by type, in order to understand the role they play in the functioning and operation of the SNIEG."
"83","Master in Anti-Corruption and Diplomacy","The Master in Anti-Corruption and Diplomacy (MACD) is a modular postgraduate academic degree programme delivered over 18 months, in a mixture of campus-based and online (live interaction), jointly by the International Anti-Corruption Academy (IACA) and the United Nations Institute for Training and Research (UNITAR). Designed as an in-career programme, MACD has a compact structure and covers two disciplines, namely, anti-corruption and diplomacy. The programme offers a series of interdisciplinary modules which concentrate on concepts and practical tools for preventing and countering corruption, and diplomacy.
The programme includes subjects and cross-cutting themes relating to economics, behavioural science, ethics, law, compliance, diplomacy, international law, digital and cyber diplomacy, as well as essential skills for an international career such as negotiations, leadership, effective writing, public speaking and stakeholder coordination & engagement. The programme utilizes lectures, case studies, interactive sessions, group work, and stakeholder discussions to identify best practices in anti-corruption and diplomacy. MACD modules are complemented by expert talks on anti-corruption and diplomacy topics. Programme delivery is campus-based and virtual live interaction, with the first module taking place at the UNITAR Headquarters in Geneva, Switzerland, ensuring effective knowledge transfer and the immediate applicability of the knowledge and skills acquired. The programme is completed with the successful submission and defence of a master<U+0092>s thesis for which a supporting course in research methods is incorporated into the modules. The master<U+0092>s thesis defence in this programme will take place online. Upon successful completin of the master<U+0092>s thesis defence, the graduates will visit IACA<U+0092>s campus in Laxenburg, Austria, and attend their graduation ceremony, organized by IACA.
The MACD programme is designed for those who intend to avail an opportunity to study under some of the world<U+0092>s most renowned experts in anti-corruption and diplomacy, in a participatory and unique international environment, and within a group of motivated and committed individuals in order to deepen their understanding of anti-corruption and diplomacy, and hence adding greater value to their respective careers, organizations and societies.
											
							Download syllabus
							
									, The Master in Anti-Corruption and Diplomacy (MACD) is a modular postgraduate academic degree programme delivered over 18 months, in a mixture of campus-based and online (live interaction), jointly by the International Anti-Corruption Academy (IACA) and the United Nations Institute for Training and Research (UNITAR). Designed as an in-career programme, MACD has a compact structure and covers two disciplines, namely, anti-corruption and diplomacy. The programme offers a series of interdisciplinary modules which concentrate on concepts and practical tools for preventing and countering corruption, and diplomacy., The programme includes subjects and cross-cutting themes relating to economics, behavioural science, ethics, law, compliance, diplomacy, international law, digital and cyber diplomacy, as well as essential skills for an international career such as negotiations, leadership, effective writing, public speaking and stakeholder coordination & engagement. The programme utilizes lectures, case studies, interactive sessions, group work, and stakeholder discussions to identify best practices in anti-corruption and diplomacy. MACD modules are complemented by expert talks on anti-corruption and diplomacy topics. Programme delivery is campus-based and virtual live interaction, with the first module taking place at the UNITAR Headquarters in Geneva, Switzerland, ensuring effective knowledge transfer and the immediate applicability of the knowledge and skills acquired. The programme is completed with the successful submission and defence of a master<U+0092>s thesis for which a supporting course in research methods is incorporated into the modules. The master<U+0092>s thesis defence in this programme will take place online. Upon successful completin of the master<U+0092>s thesis defence, the graduates will visit IACA<U+0092>s campus in Laxenburg, Austria, and attend their graduation ceremony, organized by IACA., The MACD programme is designed for those who intend to avail an opportunity to study under some of the world<U+0092>s most renowned experts in anti-corruption and diplomacy, in a participatory and unique international environment, and within a group of motivated and committed individuals in order to deepen their understanding of anti-corruption and diplomacy, and hence adding greater value to their respective careers, organizations and societies., 
					Target audience
					The Master<U+0092>s in Anti-Corruption and Diplomacy is designed as an in-career programme targeted to those holding an undergraduate degree with a background in International Relations, Diplomacy, International Law, Anti-Corruption, or any related field. The programme will equally benefit professionals with existing experience from these fields.
				, The Master<U+0092>s in Anti-Corruption and Diplomacy is designed as an in-career programme targeted to those holding an undergraduate degree with a background in International Relations, Diplomacy, International Law, Anti-Corruption, or any related field. The programme will equally benefit professionals with existing experience from these fields., 
					Learning objectives
					At the end of the programme, students will be able to:
Better understand and the nexus between diplomacy and anti-corruption;
Contribute to the prevention of and the fight against corruption;
Develop, strengthen, and use research, drafting and analytical skills;
Interact with and develop a strong network of international professionals who can assist them both during and after their studies;
Apply acquired skills, knowledge and tools in their respective careers and fields of work.
, At the end of the programme, students will be able to:"
"84","Human Rights, Environmental Protection and Climate Change","The e-Learning course <U+0093>Human Rights, Environmental Protection and Climate Change<U+0094> covers the basic principles and concepts of human rights, the SDGs with emphasis on the goals and targets most relevant to environmental protection, and the relationship between human rights and the environment. The course will notably illustrate how<U+00A0>the 2030 Agenda for Sustainable Development can and is necessary to environmental protection, considering the recent scientific and legal developments around human rights and environment regimes. It will include as well a section covering the new developments following the COP25.
Through examples of constitutions that have incorporated a right to a healthy environment, good practices in procedural and substantive environmental protection, as well as good practices in the protection of groups particularly vulnerable to environmental harm, participants will understand how the relationship between human rights and environmental protection takes place in practice.
The course will run for 2 weeks, each week covering one module. Each module has<U+00A0>its own learning objectives, as well as interactive online lessons, which guide participants through the contents. The lessons are also available in PDF format so participants can work offline. Contents and activities are practice-oriented and under a self-assessment approach, so participants will learn through practical examples and assignments associated with research and case scenarios.
											
							Download syllabus
							
									, The e-Learning course <U+0093>Human Rights, Environmental Protection and Climate Change<U+0094> covers the basic principles and concepts of human rights, the SDGs with emphasis on the goals and targets most relevant to environmental protection, and the relationship between human rights and the environment. The course will notably illustrate how<U+00A0>the 2030 Agenda for Sustainable Development can and is necessary to environmental protection, considering the recent scientific and legal developments around human rights and environment regimes. It will include as well a section covering the new developments following the COP25., Through examples of constitutions that have incorporated a right to a healthy environment, good practices in procedural and substantive environmental protection, as well as good practices in the protection of groups particularly vulnerable to environmental harm, participants will understand how the relationship between human rights and environmental protection takes place in practice., The course will run for 2 weeks, each week covering one module. Each module has<U+00A0>its own learning objectives, as well as interactive online lessons, which guide participants through the contents. The lessons are also available in PDF format so participants can work offline. Contents and activities are practice-oriented and under a self-assessment approach, so participants will learn through practical examples and assignments associated with research and case scenarios., 
					Target audience
					Government officials, international civil servants, lawyers, judges, NGO representatives, academics and private sector professionals in the field of international law and international organizations. Overall, all stakeholders interested to learn about the main aspects of Human Rights and the environmental protection can benefit from this course.
				, Government officials, international civil servants, lawyers, judges, NGO representatives, academics and private sector professionals in the field of international law and international organizations. Overall, all stakeholders interested to learn about the main aspects of Human Rights and the environmental protection can benefit from this course., 
					Learning objectives
					Identify and discuss some of the major concerns related to environmental protection through IEL;
Deliberate about the potential role of human rights in efforts to protect the global environment;
Identify examples of good practices on EHRs around the world;
Explain the relevance of human rights for environmental protection;
Identify the main regional tribunals and their functions;
Evaluate the challenges and opportunities for human rights and the SDGs in the areas of poverty and environment;
Identify the value and benefits of adopting the right to a healthy environment in domestic constitutions, including potential drawbacks;
Detail how the SDGs, EHRs and indigenous people<U+0092>s rights relate;
Differentiate between anthropocentrism and ecocentrism;
Provide an overview of climate litigation and the use of human rights in this effort.
"
"85","Remote Training on Phone Surveys","Due to the COVID-19 global pandemic, the importance and benefits of phone surveys have been increasingly recognized around the world. However, many National Statistical Offices and survey practitioners had limited experience in conducting phone surveys, and the implementation guidelines were lacking. Phone surveys differ from traditional face-to-face interviews in many aspects and require specific technical skills and considerations in order to yield high-quality data. Against this background, the<U+00A0>World Bank<U+0092>s Living Standards Measurement Study (LSMS) team partnered with the<U+00A0>Mannheim Business School (MBS) and the<U+00A0>Joint Program in Survey Methodology (JPSM), and with financial support from the Trust Fund for Statistical Capacity Building (TFSCB), developed training materials to serve as a guide for phone survey practitioners. This training covers each stage of the phone survey life cycle, including questionnaire design, sampling design, use of Computer-Assisted Telephone Interviewing, and remote data quality monitoring.
									, Due to the COVID-19 global pandemic, the importance and benefits of phone surveys have been increasingly recognized around the world. However, many National Statistical Offices and survey practitioners had limited experience in conducting phone surveys, and the implementation guidelines were lacking. Phone surveys differ from traditional face-to-face interviews in many aspects and require specific technical skills and considerations in order to yield high-quality data. Against this background, the<U+00A0>World Bank<U+0092>s Living Standards Measurement Study (LSMS) team partnered with the<U+00A0>Mannheim Business School (MBS) and the<U+00A0>Joint Program in Survey Methodology (JPSM), and with financial support from the Trust Fund for Statistical Capacity Building (TFSCB), developed training materials to serve as a guide for phone survey practitioners. This training covers each stage of the phone survey life cycle, including questionnaire design, sampling design, use of Computer-Assisted Telephone Interviewing, and remote data quality monitoring."
"86","Law of Treaties <U+0096> Extended Edition","The International Law of Treaties is a set of international principles and rules regulating the conclusion procedure of treaties, as well as the issues of operation, amendments and modifications, termination, suspension and invalidity of treaties. This course is designed to cover both the theoretical and the practical aspects of this subject, starting with the basic notions, sources, subjects, principles, and scope of application of conventions forming the base of the Law of Treaties.
This extended edition of UNITAR<U+0092>s traditional online course offers participants the chance to ask questions to a high level expert during a Q&A webinar. Participants who successfully meet the minimum passing requirements at the end of the course will receive a UNITAR Certificate of Completion.The course consists of four<U+00A0>modules:
Module 1: <U+0093>The Basic Notions, Sources, and Principles of the Law of Treaties<U+0094>
Module 2: <U+0093>The Conclusion of Treaties<U+0094>
Module 3: <U+0093>The Operation, Modification, and Termination of Treaties<U+0094>
Module 4: <U+0093>The Invalidity, Interpretation and Consequences of Termination and Suspension of Treaties<U+0094>.
, The International Law of Treaties is a set of international principles and rules regulating the conclusion procedure of treaties, as well as the issues of operation, amendments and modifications, termination, suspension and invalidity of treaties. This course is designed to cover both the theoretical and the practical aspects of this subject, starting with the basic notions, sources, subjects, principles, and scope of application of conventions forming the base of the Law of Treaties., This extended edition of UNITAR<U+0092>s traditional online course offers participants the chance to ask questions to a high level expert during a Q&A webinar. Participants who successfully meet the minimum passing requirements at the end of the course will receive a UNITAR Certificate of Completion.The course consists of four<U+00A0>modules:, 
					Target audience
					Government officials, international civil servants, lawyers, judges, NGO representatives, academics, law students, private sector professionals in the field of international law and international organizations.
				, Government officials, international civil servants, lawyers, judges, NGO representatives, academics, law students, private sector professionals in the field of international law and international organizations., 
					Learning objectives
					At the end of the course, you will be able to:
Demonstrate profound understanding of the key issues of the International Law of Treaties, including knowledge of the important provisions of the universal conventions that form the base of the International Law of Treaties
Identify and apply the rules and procedures of the International Law of Treaties to practical cases, find the relevant sources of law and build legal arguments
Analyze and interpret international judicial decisions and opinions concerning the International Law of Treaties
Apply theoretical knowledge and practical skills to their professional activities in fields related to the Law of treaties. For example, preparing a draft of a treaty, or participating in the negotiations and international conferences on the elaboration and adoption of an international treaty.
, At the end of the course, you will be able to:"
"87","Law of International Organizations <U+0096> Extended Edition","International organizations are playing an increasingly important role in the international legal order. Nowadays, they wield growing normative powers. For those working for or dealing with international organizations, a sound understanding of the law of international organizations thus appears indispensable. UNITAR<U+0092>s self-paced course on the Law of International Organizations is structured in a way to cover the main legal questions related to international organizations, from both a theoretical and practical perspective.
This extended edition of UNITAR<U+0092>s traditional online course offers participants the chance to ask questions to a high level expert during a Q&A webinar. Participants who successfully meet the minimum passing requirements at the end of the course will receive a UNITAR Certificate of Completion. This course consists of four<U+00A0>modules:
Module 1 <U+0093>The definition, principles and basic legal issues on international organizations<U+0094>;
Module 2 <U+0093>The functioning on international organizations<U+0094>;
Module 3 <U+0093>The international responsibility of international organizations<U+0094>;
Module 4 <U+0093>The settlement of disputes involving international organizations<U+0094>.
, International organizations are playing an increasingly important role in the international legal order. Nowadays, they wield growing normative powers. For those working for or dealing with international organizations, a sound understanding of the law of international organizations thus appears indispensable. UNITAR<U+0092>s self-paced course on the Law of International Organizations is structured in a way to cover the main legal questions related to international organizations, from both a theoretical and practical perspective., This extended edition of UNITAR<U+0092>s traditional online course offers participants the chance to ask questions to a high level expert during a Q&A webinar. Participants who successfully meet the minimum passing requirements at the end of the course will receive a UNITAR Certificate of Completion. This course consists of four<U+00A0>modules:, 
					Target audience
					Government officials, international civil servants, lawyers, judges, NGO representatives, academics, law students, private sector professionals in the field of international law and international organizations.
				, Government officials, international civil servants, lawyers, judges, NGO representatives, academics, law students, private sector professionals in the field of international law and international organizations., 
					Learning objectives
					At the end of the course, you will be able to:
Demonstrate a profound understanding of the definition of international organization, the rules and principles governing its creation, its structure and functioning, and relationship with other actors of international law, primarily but not exclusively States
Identify and analyze the main legal issues related to the responsibility of international organizations
Differentiate the legal regimes governing the settlement of disputes involving international organizations
Apply theoretical knowledge acquired during the course to their different professional capacities, including working for international organizations, dealing with international organizations in diplomatic service, in various ministries or non-governmental organizations, or researching international organizations
, At the end of the course, you will be able to:"
"88","International Criminal Law and Transitional Justice","Under UN leadership, the last 30 years have seen remarkable development in the fight against impunity. Many different accountability mechanisms <U+0096> truth commissions, international and hybrid tribunals, as well as commissions of inquiry, fact-finding missions and investigations <U+0096> have been established and successfully implemented. As a consequence, an increasing number of people around the world are demanding justice. Policy makers and diplomats at all levels and in all regions can expect discussions and debates on these topics and ought to be prepared for them.
The Executive Diploma on International Criminal Law and Transitional Justice will provide unique access to information, perspectives, updates and analysis on accountability mechanisms for both those seeking to develop a working background on the topics as well as those already thoroughly versed in their dynamics.
Through this five-day substantive program spread over a period of one month, participants from around the world will listen to analysts, academics, policy makers and international experts to gain insight and rare first-hand knowledge about different accountability mechanisms from a wide range of perspectives. In addition to the substantive e-workshops, skills-focused modules will provide participants with a wholistic training experiences and allow them to put their substantive knowledge into practice.
									, Under UN leadership, the last 30 years have seen remarkable development in the fight against impunity. Many different accountability mechanisms <U+0096> truth commissions, international and hybrid tribunals, as well as commissions of inquiry, fact-finding missions and investigations <U+0096> have been established and successfully implemented. As a consequence, an increasing number of people around the world are demanding justice. Policy makers and diplomats at all levels and in all regions can expect discussions and debates on these topics and ought to be prepared for them., The Executive Diploma on International Criminal Law and Transitional Justice will provide unique access to information, perspectives, updates and analysis on accountability mechanisms for both those seeking to develop a working background on the topics as well as those already thoroughly versed in their dynamics., Through this five-day substantive program spread over a period of one month, participants from around the world will listen to analysts, academics, policy makers and international experts to gain insight and rare first-hand knowledge about different accountability mechanisms from a wide range of perspectives. In addition to the substantive e-workshops, skills-focused modules will provide participants with a wholistic training experiences and allow them to put their substantive knowledge into practice., 
					Target audience
					Government officials, international civil servants, lawyers, judges, NGO representatives, academics and private sector professionals in the field of international law and international organizations.
				, Government officials, international civil servants, lawyers, judges, NGO representatives, academics and private sector professionals in the field of international law and international organizations., 
					Learning objectives
					At the end of the programme participants will be able to:
Explain the role of the UN and its bodies in relation to human rights violations
Define transitional justice and the role of the UN is the promotion of truth, justice, reparations and guarantees of non-recurrence
Explain the ongoing debates surrounding the establishment of international criminal courts
Discuss the work of the only permanent International Criminal Court with a focus on its jurisdiction and issues of admissibility of cases and complementarity with national legal systems
Discuss the perceived crisis of international criminal justice as indicated by imposed sanctions against the ICC Prosecutor and senior staff
Identify the increasing number of cases brought before national judiciaries under the principle of universal jurisdiction and what they might mean for the future of international criminal law and international criminal justice
, At the end of the programme participants will be able to:"
"89","Infrastructure Asset Management for Sustainable Development","This Massive Open Online Course (MOOC) is a self-paced course developed by the United Nations Department of Economic and Social Affairs (UN DESA), United Nations Institute for Training and Research (UNITAR) and the School of International and Public Affairs (SIPA) at Columbia University. The course is based on the UN publication <U+0093>Managing Infrastructure Assets for Sustainable Development: A Handbook for Local and National Governments<U+0094> <U+0096> the result of a joint collaboration of UN DESA, UNCDF and UNOPS.
The Handbook includes inputs from renowned experts from regional development banks, local government associations, relevant UN system entities as well as think tanks and academia. The Handbook provides local and national governments with a set of practical tools to improve infrastructure asset management as well as guidance on how to adapt these tools to the socio-economic and environmental challenges of our time.
It addresses a set of key questions:
What assets do people need?
How can these assets be made to last the longest and perform the best?
How can their potential to save or generate revenue be maximized so as to unlock financial resources for other community needs, now and in the future?
In the answers to these questions lies the key to ensuring the reliability of public infrastructure and services at all levels.
This e-learning course aims to equip policymakers and government officials to find the answers in their specific national and local contexts.<U+00A0> It makes a compelling case that ultimately, asset management is a way to align strategic planning with infrastructure and service delivery in the real world. It will equip the learner with a rich set of tools to promote sound, forward-looking asset management that enhances the resilience, sustainability, reliability, and financial viability of infrastructure investments for present and future generations.
The course is divided into two parts: Fundamentals: Infrastructure Asset Management for Sustainable Development (Module 1-4) and InFocus: Infrastructure Asset Management for Sustainable Development (Module 5-8).
Fundamentals:
Module 1. Basic tenets of asset management
Module 2. The dynamics of asset management
Module 3. Assessing asset management needs and capacity
Module 4. Asset Management Action Plans (AMAPs)
In Focus:
Module 5. Capturing and utilising the right data for effective asset management
Module 6. Improving climate resilience within asset management systems
Module 7. Strengthening public health emergency preparedness and response in asset management systems
Module 8. Building a national enabling environment for asset management
											
							Download syllabus
							
									, This Massive Open Online Course (MOOC) is a self-paced course developed by the United Nations Department of Economic and Social Affairs (UN DESA), United Nations Institute for Training and Research (UNITAR) and the School of International and Public Affairs (SIPA) at Columbia University. The course is based on the UN publication <U+0093>Managing Infrastructure Assets for Sustainable Development: A Handbook for Local and National Governments<U+0094> <U+0096> the result of a joint collaboration of UN DESA, UNCDF and UNOPS., The Handbook includes inputs from renowned experts from regional development banks, local government associations, relevant UN system entities as well as think tanks and academia. The Handbook provides local and national governments with a set of practical tools to improve infrastructure asset management as well as guidance on how to adapt these tools to the socio-economic and environmental challenges of our time., It addresses a set of key questions:, In the answers to these questions lies the key to ensuring the reliability of public infrastructure and services at all levels., This e-learning course aims to equip policymakers and government officials to find the answers in their specific national and local contexts.<U+00A0> It makes a compelling case that ultimately, asset management is a way to align strategic planning with infrastructure and service delivery in the real world. It will equip the learner with a rich set of tools to promote sound, forward-looking asset management that enhances the resilience, sustainability, reliability, and financial viability of infrastructure investments for present and future generations., The course is divided into two parts: Fundamentals: Infrastructure Asset Management for Sustainable Development (Module 1-4) and InFocus: Infrastructure Asset Management for Sustainable Development (Module 5-8)., Fundamentals:, Module 1. Basic tenets of asset management, Module 2. The dynamics of asset management, Module 3. Assessing asset management needs and capacity, Module 4. Asset Management Action Plans (AMAPs), In Focus:, Module 5. Capturing and utilising the right data for effective asset management, Module 6. Improving climate resilience within asset management systems, Module 7. Strengthening public health emergency preparedness and response in asset management systems, Module 8. Building a national enabling environment for asset management, 
					Target audience
					This MOOC is available to all interested participants. The main target groups, however, are the central and local government officials in developing countries in Asia and The Pacific, Latin America and the Caribbean and Africa.<U+00A0> At the central government level, the target group includes officials from ministries of finance, ministries of local governments, relevant line ministries (e.g., water, health, education) and procurement authorities who are involved in designing asset management policies and regulations at the national level or allocating central government grants for capital investments to local governments. At the local government level, the target group comprises local officials who are responsible for infrastructure asset management, in particular technical experts from the finance, procurement, engineering, water and sanitation, health and education departments, as well as community members such as ward representatives and civil society organizations.
				, This MOOC is available to all interested participants. The main target groups, however, are the central and local government officials in developing countries in Asia and The Pacific, Latin America and the Caribbean and Africa.<U+00A0> At the central government level, the target group includes officials from ministries of finance, ministries of local governments, relevant line ministries (e.g., water, health, education) and procurement authorities who are involved in designing asset management policies and regulations at the national level or allocating central government grants for capital investments to local governments. At the local government level, the target group comprises local officials who are responsible for infrastructure asset management, in particular technical experts from the finance, procurement, engineering, water and sanitation, health and education departments, as well as community members such as ward representatives and civil society organizations., 
					Learning objectives
					It is expected that, by the end of the course, participants will be better positioned to:
Describe the principles and dynamics of effective asset management, and how they meet in an asset management framework;
Explain the objectives of and be able to apply the UN Asset Management Diagnostic Tool;
Describe the design and implementation of Asset Management Action Plans (AMAPs) and be able to develop one in the respective national or local context;
Recognize the benefits of an effective asset management information system and outline the steps to develop and implement one;
Evaluate and adapt asset management practices for crises such as climate change and public health emergencies;
Explain how an enabling legislative and policy environment at the national level can support and sustain asset management at the local level.
, It is expected that, by the end of the course, participants will be better positioned to:"
"90","Living Heritage and Sustainable Development","How is intangible cultural heritage <U+0096> or <U+0091>living heritage<U+0092> <U+0096> related to sustainable development? Why is it important to keep heritage alive?, How is intangible cultural heritage <U+0096> or <U+0091>living heritage<U+0092> <U+0096> related to sustainable development? Why is it important to keep heritage alive?, for the, SAFEGUARDING OF THE INTANGIBLE CULTURAL HERITAGE, of the, SAFEGUARDING OF LIVING HERITAGE, to, FUTURE GENERATIONS, is closely linked to, SUSTAINABLE DEVELOPMENT, How is intangible cultural heritage <U+0096> or <U+0091>living heritage<U+0092> <U+0096> related to sustainable development? How is it relevant for addressing today<U+0092>s development challenges in areas such as health, education, gender, natural disasters and conflict? Why is it important to keep this heritage alive? Communities around the world are transmitting their living heritage, which gives meaning to their lives, strengthens resilience, and contributes to their well-being. In this way intangible cultural heritage and sustainable development are closely linked. The international community made a commitment to safeguarding living heritage when it adopted the Convention for the Safeguarding of the Intangible Cultural Heritage in 2003 and it set itself ambitious goals by adopting the 2030 Agenda for Sustainable Development. This course helps to understand the connections between the two.By taking this course students and other interested learners and professionals will gain a better understanding of intangible cultural heritage and its relationships with sustainable development, exploring examples and experiences of communities from around the world.This MOOC was developed by UNESCO in collaboration with the International Information and Networking Centre in Asia and the Pacific under the auspices of UNESCO (ICHCAP) and the SDG Academy. It brings together a diverse group of lead experts in the field of intangible cultural heritage and development who collaborated closely with the UNESCO Chair for Research on Intangible Cultural Heritage and Cultural Diversity of the National Autonomous University of Mexico as lead faculty to develop the content of this course. The course draws on their longstanding expertise, the experiences of communities engaged in transmitting their living heritage and ten years of implementing UNESCO<U+0092>s global capacity building programme for safeguarding intangible cultural heritage.By joining the course learners are invited to rethink development from a culture perspective!, How is intangible cultural heritage <U+0096> or <U+0091>living heritage<U+0092> <U+0096> related to sustainable development? How is it relevant for addressing today<U+0092>s development challenges in areas such as health, education, gender, natural disasters and conflict? Why is it important to keep this heritage alive? Communities around the world are transmitting their living heritage, which gives meaning to their lives, strengthens resilience, and contributes to their well-being. In this way intangible cultural heritage and sustainable development are closely linked. The international community made a commitment to safeguarding living heritage when it adopted the Convention for the Safeguarding of the Intangible Cultural Heritage in 2003 and it set itself ambitious goals by adopting the 2030 Agenda for Sustainable Development. This course helps to understand the connections between the two., By taking this course students and other interested learners and professionals will gain a better understanding of intangible cultural heritage and its relationships with sustainable development, exploring examples and experiences of communities from around the world., This MOOC was developed by UNESCO in collaboration with the International Information and Networking Centre in Asia and the Pacific under the auspices of UNESCO (ICHCAP) and the SDG Academy. It brings together a diverse group of lead experts in the field of intangible cultural heritage and development who collaborated closely with the UNESCO Chair for Research on Intangible Cultural Heritage and Cultural Diversity of the National Autonomous University of Mexico as lead faculty to develop the content of this course. The course draws on their longstanding expertise, the experiences of communities engaged in transmitting their living heritage and ten years of implementing UNESCO<U+0092>s global capacity building programme for safeguarding intangible cultural heritage., By joining the course learners are invited to rethink development from a culture perspective!, Anyone new to the concept of intangible cultural heritage<U+00A0>who wants to understand what intangible cultural heritage is, why it is important to people<U+0092>s wellbeing and what role it plays in the lives of people, including young people;, Graduate students and advanced undergraduate students<U+00A0>interested in the key concepts and practices of sustainability and global issues;, Key actors engaged in the field of sustainable development at a local, regional or international level<U+00A0>, including those who work in corporate sustainability and responsibility and who want to understand the relationship between intangible cultural heritage and sustainable development;, Practitioners and professionals engaged in living heritage safeguarding<U+00A0>, who want to refresh their knowledge on the key concepts of safeguarding of intangible cultural heritage and want to learn more about the relationship between living heritage and sustainable development.,  Module 1: What is intangible cultural heritage?,  Module 2: Communities and their intangible cultural heritage,  Module 3: Safeguarding intangible cultural heritage,  Module 4: Intangible cultural heritage and gender,  Module 5: Intangible cultural heritage for sustainable livelihoods and inclusive social development,  Module 6: Intangible cultural heritage for resilience, environmental sustainability and peacebuilding"
