id,titles,category,description,major_categ
					learning objectives
					understand  conceptual framework used   seea eea
learn  basic concepts definitions  classifications used   seea eea
understand   seea eea contributes  developing policies  sustainable development
",4
106,"Policy cycle, integrated approaches and SDGs for African LDCs",policy coherence," toolkit developed  unitar  collaboration   un family explains  theory  practical implications behind policy integration  leave  one behind imperatives based   improved understanding   aims  support  harmonized approaches towards incorporating  sdgs across  national policy cycle  integrated planning  aligned budgeting frameworks  monitoring  evaluation m e systems reviews  reporting 
 toolkit  available  two versions  first version  specifically customized  african least developed countries ldcs  available   english  french  second version   generic one  english  world wide case studies 
											
							download syllabus
							
									  toolkit developed  unitar  collaboration   un family explains  theory  practical implications behind policy integration  leave  one behind imperatives based   improved understanding   aims  support  harmonized approaches towards incorporating  sdgs across  national policy cycle  integrated planning  aligned budgeting frameworks  monitoring  evaluation m e systems reviews  reporting  toolkit  available  two versions  first version  specifically customized  african least developed countries ldcs  available   english  french  second version   generic one  english  world wide case studies 
					target audience
					government officers 
un country team 
media representatives 
ngos 
business  industry 
trade unions 
community leaders 
academia  universities 
philanthropists 
youth organizations 
country based international partners etc 
 
					learning objectives
					  result   training   better positioned  
describe  core competencies  leadership aligned   sdgs   2030 agenda  identify current capacity gaps 
localize  sdgs   national context  describe existing mechanisms  monitoring evaluation  reporting related   sdgs  national goals 
explain  importance  coherence   different stages   policy cycle  provide examples  approaches   reinforce  coherence 
apply frameworks  analytical tools  integrated analysis  decision making 
analyze policies  programs  light   key principle  agenda 2030 leave  one behind 
promote participatory approaches  different stages   policy cycle 
   result   training   better positioned  ",2
107,"Policy cycle, integrated approaches and SDGs",policy coherence," toolkit developed  unitar  collaboration   un family explains  theory  practical implications behind policy integration  leave  one behind imperatives based   improved understanding   aims  support  harmonized approaches towards incorporating  sdgs across  national policy cycle  integrated planning  aligned budgeting frameworks  monitoring  evaluation m e systems reviews  reporting 
 toolkit  available  two versions  version   generic one  available  english  world wide case studies  second version  specifically customized  african least developed countries ldcs  available   english  french 
									  toolkit developed  unitar  collaboration   un family explains  theory  practical implications behind policy integration  leave  one behind imperatives based   improved understanding   aims  support  harmonized approaches towards incorporating  sdgs across  national policy cycle  integrated planning  aligned budgeting frameworks  monitoring  evaluation m e systems reviews  reporting  toolkit  available  two versions  version   generic one  available  english  world wide case studies  second version  specifically customized  african least developed countries ldcs  available   english  french 
					target audience
					government officers 
un country team 
media representatives 
ngos 
business  industry 
trade unions 
community leaders 
academia  universities 
philanthropists 
youth organizations 
country based international partners etc 
 
					learning objectives
					  result   training   better positioned  
describe  core competencies  leadership aligned   sdgs   2030 agenda  identify current capacity gaps 
localize  sdgs   national context  describe existing mechanisms  monitoring evaluation  reporting related   sdgs  national goals 
explain  importance  coherence   different stages   policy cycle  provide examples  approaches   reinforce  coherence 
apply frameworks  analytical tools  integrated analysis  decision making 
analyze policies  programs  light   key principle  agenda 2030 leave  one behind 
promote participatory approaches  different stages   policy cycle 
   result   training   better positioned  ",2
108,Integrated policies and policy coherence for SDGs,policy coherence," toolkit   jointly developed  unitar  division  public institutions  digital governance dpidg  un department  economic  social affairs un desa   un economic commission  latin america   caribbean eclac  goes  step   promoting policy coherence   participatory strategic planning   recommended  use  situations     interest  go deeper      integrated planning beyond  good practices presented   foundational toolkit policy cycle integrated approaches  sdgs 
 toolkit  comprised  comprehensive training materials  apply systemic approaches  analyze  interactions  different sdg areas   design integrated policies key methodological areas   toolkit  system thinking policy coherence institutional arrangements  stakeholder engagement among others  toolkit aims  facilitate government officials academia un country teams   national experts  conduct trainings 
 toolkit comprised  following modukes  sessions    used  conduct  national training 
module  holistic approach  policy coherence key building blocks
module governance  stakeholders engagement  capacities  implement  sdgs
module enhancing policy design capacity  system thinking  analysis
module evaluating policy options  coherence  developing integrated national strategies
module assessing governance  institutional capacities  policy coherence  integration
 focus integrated policy design  practice
facilitation
action planning
evaluation
 toolkit  available  english  french 
 
									  toolkit   jointly developed  unitar  division  public institutions  digital governance dpidg  un department  economic  social affairs un desa   un economic commission  latin america   caribbean eclac  goes  step   promoting policy coherence   participatory strategic planning   recommended  use  situations     interest  go deeper      integrated planning beyond  good practices presented   foundational toolkit policy cycle integrated approaches  sdgs  toolkit  comprised  comprehensive training materials  apply systemic approaches  analyze  interactions  different sdg areas   design integrated policies key methodological areas   toolkit  system thinking policy coherence institutional arrangements  stakeholder engagement among others  toolkit aims  facilitate government officials academia un country teams   national experts  conduct trainings  toolkit comprised  following modukes  sessions    used  conduct  national training  toolkit  available  english  french 
					target audience
					national experts government officials academics un country teams  others 
				 national experts government officials academics un country teams  others 
					learning objectives
					  end   training learners   better positioned  
define key building blocks   holistic integrated planning  policy coherence framework 
map  engage effectively  key stakeholders   national priority setting process 
apply elements  systems thinking  assess intersectoral interactions identify nationally relevant leverage points  accelerators  build interaction maps 
describe possible approaches  developing coherent policy options across sectors  designing  consultative process  develop  integrated strategy 
conduct institutional readiness assessment  sdg requirements 
 addition learners  
develop  individual action plan  incorporate relevant knowledge   professional context 
 able  either provide policy leadership train  stakeholders  coach  colleagues   development  integrated policies 
   end   training learners   better positioned   addition learners  ",2
109,Policy Coherence and Systems Thinking for Sustainable Development,policy coherence,"conventional approaches  development often focus  sector specific economic results working   assumption  markets function perfectly  approaches   adequately consider externalities   impact  society equity   environment  also often ignore  transboundary  inter generational effects  results  siloed contradictory policies  can undermine one another 
 course explores ways  uncover system interconnections  foster integration across  sustainable development goals   backdrop  political economy analysis  explores  concept  systems thinking  well   cross organizational  cross sectoral policy coherence   national regional  international levels  aims  equipping   understanding    focus  system interconnections  key  achieving sustainable development  coherent policymaking entails     specific tools mechanisms  approaches  can  employed  foster   need   systemic  coherence view   evident  ever   global covid 19 pandemic  interrupted  journey towards transformative change  risks reversing decades  development gains 
 course  designed   un system staff college  coordination   national university  singapore acting   lee kuan yew school  public policy   hertie school  university  governance  berlin   collaboration   oecd policy coherence  sustainable development unit  paris 
									 conventional approaches  development often focus  sector specific economic results working   assumption  markets function perfectly  approaches   adequately consider externalities   impact  society equity   environment  also often ignore  transboundary  inter generational effects  results  siloed contradictory policies  can undermine one another  course explores ways  uncover system interconnections  foster integration across  sustainable development goals   backdrop  political economy analysis  explores  concept  systems thinking  well   cross organizational  cross sectoral policy coherence   national regional  international levels  aims  equipping   understanding    focus  system interconnections  key  achieving sustainable development  coherent policymaking entails     specific tools mechanisms  approaches  can  employed  foster   need   systemic  coherence view   evident  ever   global covid 19 pandemic  interrupted  journey towards transformative change  risks reversing decades  development gains  course  designed   un system staff college  coordination   national university  singapore acting   lee kuan yew school  public policy   hertie school  university  governance  berlin   collaboration   oecd policy coherence  sustainable development unit  paris 
					target audience
					un staff  headquarters country teams  regional offices government representatives development practitioners  well  members  civil society  private sector academia  foundations 
				 un staff  headquarters country teams  regional offices government representatives development practitioners  well  members  civil society  private sector academia  foundations 
					learning objectives
					upon successful completion   course  
demonstrate  sound understanding   vision  principles underlying  2030 agenda  evolution   concept  policy coherence  sustainable development   importance  policy coherence  sustainable development 
demonstrate  sound understanding  systems thinking  systems mapping   framework  thought 
demonstrate  good understanding   relevance  policy coherence   approach   tool  achieve sustainable development outcomes   able  recognize policies   mutually reinforcing across governance levels 
 equipped  knowledge   specific tools mechanisms  approaches  can  employed  foster systems thinking  policy coherence including partnerships  multi stakeholder engagement 
 upon successful completion   course  ",2
110,"Foresight for Development, the 2030 Agenda and the SDGs",participation," world  going   period  instability  uncertainty  covid 19 pandemic intensified  challenges   region  latin america   caribbean   context  2030 agenda  sustainable development becomes even  relevant  well  foresight  studies   future 
 crossroads experienced   region promote  exercise  foresight  long term planning  public affairs participants  learn  systemic thinking   framework   2030 agenda long term trends  challenges foresight s tools cases  experiences  strategic planning 
 learning methodology   course encourages  construction  individual  collective knowledge combining theory practice  experience  virtual classes applied exercises readings  interactive quizzes   able  practice foresight techniques furthermore     opportunity  share knowledge  experiences   peers 
 virtual course lasts eight weeks summing    total  80 academic hours    asynchronous course   activities can  distributed   participant   individual basis 
											
							download syllabus
							
									  world  going   period  instability  uncertainty  covid 19 pandemic intensified  challenges   region  latin america   caribbean   context  2030 agenda  sustainable development becomes even  relevant  well  foresight  studies   future  crossroads experienced   region promote  exercise  foresight  long term planning  public affairs participants  learn  systemic thinking   framework   2030 agenda long term trends  challenges foresight s tools cases  experiences  strategic planning  learning methodology   course encourages  construction  individual  collective knowledge combining theory practice  experience  virtual classes applied exercises readings  interactive quizzes   able  practice foresight techniques furthermore     opportunity  share knowledge  experiences   peers  virtual course lasts eight weeks summing    total  80 academic hours    asynchronous course   activities can  distributed   participant   individual basis 
					target audience
					 course  suitable  anyone  wants  gain knowledge  foresight including representatives   public sector ngos academia  think thanks interested   development  capacities  exploration   future   application   fields  development  public policy applicants must  completed  university studies 
				  course  suitable  anyone  wants  gain knowledge  foresight including representatives   public sector ngos academia  think thanks interested   development  capacities  exploration   future   application   fields  development  public policy applicants must  completed  university studies 
					learning objectives
					1 acquire  basic conceptual theoretical  methodological framework  foresight  future studies  knowledge   basic theories relevant contemporary experiences  long term visions  knowledge   general development context   region  latin america   caribbean 
2 know  basic elements   2030 agenda   global vision  sustainable development  show  benefits  foresight analysis  tools can offer tool  achieve  2030 agenda  sustainable development   sustainable development goals 
				 1 acquire  basic conceptual theoretical  methodological framework  foresight  future studies  knowledge   basic theories relevant contemporary experiences  long term visions  knowledge   general development context   region  latin america   caribbean 2 know  basic elements   2030 agenda   global vision  sustainable development  show  benefits  foresight analysis  tools can offer tool  achieve  2030 agenda  sustainable development   sustainable development goals ",1
111,System Dynamics-based Development Planning,participation," course duration  8 weeks 4 weeks online 4 weeks face  face  course  free   responsible   travel accommodation  living expenses  well   pay  semester fee  590 norwegian krone  65   university  bergen 
											
							download syllabus
							
									  course duration  8 weeks 4 weeks online 4 weeks face  face  course  free   responsible   travel accommodation  living expenses  well   pay  semester fee  590 norwegian krone  65   university  bergen 
					target audience
					development professionals responsible  developing policies  programs aimed  meeting  sdgs 
				 development professionals responsible  developing policies  programs aimed  meeting  sdgs 
					learning objectives
					participants develop expertise  understand map  analyze complex sustainable development challenges   determine  best approaches  solve  using  systems perspective participants gain knowledge  robust multi sector  multi disciplinary strategy development policy design  decision making within  context  2030 agenda 
				 participants develop expertise  understand map  analyze complex sustainable development challenges   determine  best approaches  solve  using  systems perspective participants gain knowledge  robust multi sector  multi disciplinary strategy development policy design  decision making within  context  2030 agenda ",1
112,UN Summer Academy,participation,"amidst  disruption  global uncertainty facing  world today global dialogue  action   critical  ever   context  virtual un summer academy  address key challenges   achievement   2030 agenda  sustainable development  explore collaborations   global  local level  address  
 2021 virtual un summer academy builds   rich legacy    succesful virtual edition  2020  well  eight face  face editions   previous editions  academy combines academic rigour  cutting edge thinking providing  unparalleled learning  networking opportunities  facilitates  fosters dialogue  thought  action leaders   currently working towards  implementation   2030 agenda   paris agreement participants  explore transformative approaches required  implementation   2030 agenda  share concrete examples  practices  diverse country contexts  stakeholder perspectives 
   time  virtual edition capitalizes   additional opportunities offered   online format  experiential learning methodologies  engage   wide range  expert inputs  well   peer  peer learning knowledge exchange  collaborative co creation 
thanks   generous support   state  north rhine westphalia  course  offered   reduced price  500 
moreover  order  offer highly qualified candidates  possibility  participate   un summer academy  state  north rhine westphalia  funding 62 full scholarships covering fees   five day online learning event  deadline  scholarship applications  30 june 2021  can find  details    apply  
									 amidst  disruption  global uncertainty facing  world today global dialogue  action   critical  ever   context  virtual un summer academy  address key challenges   achievement   2030 agenda  sustainable development  explore collaborations   global  local level  address   2021 virtual un summer academy builds   rich legacy    succesful virtual edition  2020  well  eight face  face editions   previous editions  academy combines academic rigour  cutting edge thinking providing  unparalleled learning  networking opportunities  facilitates  fosters dialogue  thought  action leaders   currently working towards  implementation   2030 agenda   paris agreement participants  explore transformative approaches required  implementation   2030 agenda  share concrete examples  practices  diverse country contexts  stakeholder perspectives    time  virtual edition capitalizes   additional opportunities offered   online format  experiential learning methodologies  engage   wide range  expert inputs  well   peer  peer learning knowledge exchange  collaborative co creation thanks   generous support   state  north rhine westphalia  course  offered   reduced price  500 moreover  order  offer highly qualified candidates  possibility  participate   un summer academy  state  north rhine westphalia  funding 62 full scholarships covering fees   five day online learning event  deadline  scholarship applications  30 june 2021  can find  details    apply  
					target audience
					un staff national  local government representatives civil society representatives academics private sector representatives  well   select number  master s  post graduate students 
applicants   selected   basis   professional academic profile  motivation statement 
time requirements  detailed   course methodology section     synchronous course    expected   online  four five specified hours   five days exact times   shared  successful applicants shortly   course begins  unssc  offer two time windows can select  window  either 10 00  m 4 00 p m cest  2 00 p m 8 00 p m cest 
technical requirements  take participate   online training  need access   desktop pc  laptop   internet connection  well   functioning webcam microphone  speakers internet speed  volume   sufficient  four five hours  video conferencing  day due   interactive  applied format   academy    possible  participate using  mobile device  details  technical requirements   shared  successful applicants shortly   course begins 
				 un staff national  local government representatives civil society representatives academics private sector representatives  well   select number  master s  post graduate students applicants   selected   basis   professional academic profile  motivation statement time requirements  detailed   course methodology section     synchronous course    expected   online  four five specified hours   five days exact times   shared  successful applicants shortly   course begins  unssc  offer two time windows can select  window  either 10 00  m 4 00 p m cest  2 00 p m 8 00 p m cest technical requirements  take participate   online training  need access   desktop pc  laptop   internet connection  well   functioning webcam microphone  speakers internet speed  volume   sufficient  four five hours  video conferencing  day due   interactive  applied format   academy    possible  participate using  mobile device  details  technical requirements   shared  successful applicants shortly   course begins 
					learning objectives
					upon successful completion   un summer academy  
demonstrate  sound understanding   key notions underpinning  2030 agenda  sustainable development   paris agreement  climate change 
demonstrate  improved understanding   key challenges  opportunities facing  multilateral development system  key actions  global  local levels  drive  future  want 
 benefitted  unparalleled networking opportunities  demonstrate  increased awareness   role  different development partners 
 received exposure  good practices   area  sustainable development   local level 
 upon successful completion   un summer academy  ",1
113,The UN Country Team Leadership Course,policy coherence,"   called  lead  act  change  2030 agenda  sustainable development represents  imperative  change   united nations  covid 19 pandemic  drastically underlined  connections  immediate public health measures  wider economic social  environmental linkages  need   considered  designing  implementing integrated responses yet  efforts  build back better risk favouring unsustainable short term gains   ultimately increase inequality  threaten  planet   push toward  needed long term transformation toward human well  within planetary boundaries 
 course aims  supporting un leaders  articulate facilitate  broker  needed changes  support   people   countries  serve  also provides  space  discuss  necessary adjustments   structure leadership accountability mechanisms interaction  capacities   un development system   required  ensure   positioned  provide countries   support  need  strengthening  relevance  un needs visionary  principled leadership across  system  address today s challenging world  needs leaders  stand   un values   inspire   commitment  peace justice respect human rights tolerance  solidarity 
participants  deepen  knowledge  sharpen  political acumen  engaging discussions  un senior officials  subject matter experts    opportunities  share practices  interactive peer  peer learning  workshops  unpack inter agency concerns  well  individual agency contexts  develop solutions  leverage  un agency s strengths  expertise 
experiential learning methods    site visit  well   full day media training  complement  intense training programme 
									    called  lead  act  change  2030 agenda  sustainable development represents  imperative  change   united nations  covid 19 pandemic  drastically underlined  connections  immediate public health measures  wider economic social  environmental linkages  need   considered  designing  implementing integrated responses yet  efforts  build back better risk favouring unsustainable short term gains   ultimately increase inequality  threaten  planet   push toward  needed long term transformation toward human well  within planetary boundaries  course aims  supporting un leaders  articulate facilitate  broker  needed changes  support   people   countries  serve  also provides  space  discuss  necessary adjustments   structure leadership accountability mechanisms interaction  capacities   un development system   required  ensure   positioned  provide countries   support  need  strengthening  relevance  un needs visionary  principled leadership across  system  address today s challenging world  needs leaders  stand   un values   inspire   commitment  peace justice respect human rights tolerance  solidarity participants  deepen  knowledge  sharpen  political acumen  engaging discussions  un senior officials  subject matter experts    opportunities  share practices  interactive peer  peer learning  workshops  unpack inter agency concerns  well  individual agency contexts  develop solutions  leverage  un agency s strengths  expertise experiential learning methods    site visit  well   full day media training  complement  intense training programme 
					target audience
					un resident coordinators rc  rc candidates country directors  representatives  un agencies funds  programmes 
				 un resident coordinators rc  rc candidates country directors  representatives  un agencies funds  programmes 
					learning objectives
					upon successful completion   course  
 strengthened  knowledge   vision  principles underlying  2030 agenda  well  approaches   implementation  practical means  mechanisms  sustainable development 
 gained  deeper understanding   repositioning process   un development system   implications  un agencies  resident coordinator offices  country level 
 gained  deeper understanding  integrated approaches  sustainable development  systems thinking   context  building back better post covid 19 
 improved  understanding   defining characteristics  un leadership   various ways  working  exemplify  leadership characteristics
 acquired knowledge  mechanisms  tools  enhance uncts integrated policy support  countries 
 ready  apply  art  effective  strategic communication  improve  quality  dialogue  partners  stakeholders increase advocacy  highlight results
 upon successful completion   course  ",2
114,UN Summer Academy 2022,participation,"amidst  disruption  global uncertainty facing  world today global dialogue  action   critical  ever   context  virtual un summer academy  address key challenges   achievement   2030 agenda  sustainable development   post covid 19 context particularly   areas  health  well  economic transformation  climate action 
 2022 virtual un summer academy builds   rich legacy   successful virtual editions  2020  2021  well  eight face  face editions   previous editions  academy combines academic rigour  cutting edge thinking providing  unparalleled learning  networking opportunities  facilitates  fosters dialogue  thought  action leaders   currently working towards  implementation   2030 agenda   paris agreement participants  explore transformative approaches required   implementation   2030 agenda    share concrete examples  practices  diverse country contexts  stakeholder perspectives 
   time  virtual edition capitalizes   additional opportunities offered   online format  experiential learning methodologies  engage   wide range  expert inputs  well   peer  peer learning knowledge exchange  collaborative co creation 
									 amidst  disruption  global uncertainty facing  world today global dialogue  action   critical  ever   context  virtual un summer academy  address key challenges   achievement   2030 agenda  sustainable development   post covid 19 context particularly   areas  health  well  economic transformation  climate action  2022 virtual un summer academy builds   rich legacy   successful virtual editions  2020  2021  well  eight face  face editions   previous editions  academy combines academic rigour  cutting edge thinking providing  unparalleled learning  networking opportunities  facilitates  fosters dialogue  thought  action leaders   currently working towards  implementation   2030 agenda   paris agreement participants  explore transformative approaches required   implementation   2030 agenda    share concrete examples  practices  diverse country contexts  stakeholder perspectives    time  virtual edition capitalizes   additional opportunities offered   online format  experiential learning methodologies  engage   wide range  expert inputs  well   peer  peer learning knowledge exchange  collaborative co creation 
					target audience
					un young professionals national  local government representatives civil society representatives academics private sector representatives  well   select number  doctoral  master s students 
				 un young professionals national  local government representatives civil society representatives academics private sector representatives  well   select number  doctoral  master s students 
					learning objectives
					upon successful completion   un summer academy  
demonstrate  sound understanding   key notions underpinning  2030 agenda  sustainable development   paris agreement  climate change 
demonstrate  improved understanding   key challenges  opportunities facing sustainable development   wake  covid 19
 benefitted  unparalleled networking opportunities  demonstrate  increased awareness   role  different development partners 
 received exposure  good practices  conceptual approaches   area  sustainable development 
 upon successful completion   un summer academy  ",1
115,Cities and Marine Plastic Pollution: Building a Circular Economy,policy coherence," free elearning course  developed  support city level capacity building   topic  plastic waste management  purpose   course   share  latest knowledge  approaches  measuring  managing plastic pollution  land based sources  particular cities   achievement  local national  regional goals related  sustainable development 
abstract
plastic pollution  entering  oceans   alarming rate damaging  marine environments  endangering local livelihoods  asia pacific   important centre  innovation  plastic waste management   hotspot  pollution across  region cities  city governments    frontier  global efforts  stop plastic waste entering  environment 
 course  developed   closing  loop project  un escap  partnership   government  japan closing  loop aims  reduce  environmental impact  cities  asean  addressing plastic waste pollution   marine environment  support   asean framework  action  marine debris   g20 osaka blue ocean vision  project  bring   circular approach  plastic waste management  reduce  amount  waste entering  marine environment 
 course  developed  facilitate local government capacity building   topic  marine plastic waste course development  led  un escap  collaboration  ocean conservancy un environment programme unep  institute  global environmental strategies iges women  informal employment globalizing  organizing wiego coordinating body   seas  east asia cobsea japan international cooperation agency jica  international solid waste association iswa plymouth marine lab wageningen university research keio university   university  leeds 
 stay   date   closing  loop project  view   resources  publications please visit  website https www unescap org projects closing  loop
  information please download  elearning course brochure  english  japanese
									  free elearning course  developed  support city level capacity building   topic  plastic waste management  purpose   course   share  latest knowledge  approaches  measuring  managing plastic pollution  land based sources  particular cities   achievement  local national  regional goals related  sustainable development plastic pollution  entering  oceans   alarming rate damaging  marine environments  endangering local livelihoods  asia pacific   important centre  innovation  plastic waste management   hotspot  pollution across  region cities  city governments    frontier  global efforts  stop plastic waste entering  environment  course  developed   closing  loop project  un escap  partnership   government  japan closing  loop aims  reduce  environmental impact  cities  asean  addressing plastic waste pollution   marine environment  support   asean framework  action  marine debris   g20 osaka blue ocean vision  project  bring   circular approach  plastic waste management  reduce  amount  waste entering  marine environment  course  developed  facilitate local government capacity building   topic  marine plastic waste course development  led  un escap  collaboration  ocean conservancy un environment programme unep  institute  global environmental strategies iges women  informal employment globalizing  organizing wiego coordinating body   seas  east asia cobsea japan international cooperation agency jica  international solid waste association iswa plymouth marine lab wageningen university research keio university   university  leeds  stay   date   closing  loop project  view   resources  publications please visit  website https www unescap org projects closing  loop   information please download  elearning course brochure  english  japanese 
					target audience
					city governments 
 local  national level policymakers 
  interested individuals  stakeholders 
 
					learning objectives
					  course  
learn  land based plastic waste pollution issues  asia   pacific region 
share contemporary scientific  practitioner knowledge  assessment methodologies  better understand  plastics pollution challenge 
explore state   art technologies  techniques  used  measure  monitor plastic waste  municipal  marine environments 
inspire action  tackle practical challenges  municipal solid waste management systems  terrestrial  marine environments 
equip decision makers  practitioners  practical tools policies  approaches  tackling plastic waste 
   course  ",2
116,Integrated Recovery Planning and Policy Coherence Towards the SDGs,policy coherence," massive open online course mooc  developed   division  sustainable development goals   division  public institutions  digital governance   united nations department  economic  social affairs undesa   united nations institute  training  research unitar  objective   self paced e learning course   strengthen  capacity  national stakeholders  design adapt  implement integrated  coherent plans  policies  improved decision making among national stakeholders policy makers senior planners civil society academics  private sector involved  recovery planning  e covid 19  rebuilding towards sdgs implementation 
  recovery focus  attention  advancing systems thinking  co creation skills among national stakeholders  e learning course  integrated recovery planning  policy coherence towards  sdgs serves  timely compliment   growing suite  e learning courses  integrated approaches across  un system    un sustainable development group s primer   sdgs hosted   un staff system college   e course  integrated approaches  mainstreaming acceleration  policy support   sdgs hosted  unicef undp 
 e learning course builds  undesa  unitar s partnership throughout 2019  jointly organizing regional workshops  many participating countries shared case studies  discussed challenges encountered   formulation  implementation  integrated  coherent policy plans  also builds   implementation  undesa development account project implementation  national sustainable development strategies  selected countries  africa  latin america   implemented  three 3 representative countries  costa rica egypt  ethiopia  2016 2020 
 course consists  five modules 
module 1 introduction  integrated recovery planning  policy coherence towards sdgs
module 2 mobilizing stakeholders  envision success
module 3 systems thinking  understand connections  leverage points
module 4 back casting  scenario analysis  identify strategic policy options  transformative policy pathways
module 5 coherent  adaptive implementation  transformative policy pathways

							download syllabus
							
									  massive open online course mooc  developed   division  sustainable development goals   division  public institutions  digital governance   united nations department  economic  social affairs undesa   united nations institute  training  research unitar  objective   self paced e learning course   strengthen  capacity  national stakeholders  design adapt  implement integrated  coherent plans  policies  improved decision making among national stakeholders policy makers senior planners civil society academics  private sector involved  recovery planning  e covid 19  rebuilding towards sdgs implementation   recovery focus  attention  advancing systems thinking  co creation skills among national stakeholders  e learning course  integrated recovery planning  policy coherence towards  sdgs serves  timely compliment   growing suite  e learning courses  integrated approaches across  un system    un sustainable development group s primer   sdgs hosted   un staff system college   e course  integrated approaches  mainstreaming acceleration  policy support   sdgs hosted  unicef undp  e learning course builds  undesa  unitar s partnership throughout 2019  jointly organizing regional workshops  many participating countries shared case studies  discussed challenges encountered   formulation  implementation  integrated  coherent policy plans  also builds   implementation  undesa development account project implementation  national sustainable development strategies  selected countries  africa  latin america   implemented  three 3 representative countries  costa rica egypt  ethiopia  2016 2020  course consists  five modules 
					target audience
					 course  open  everyone however  main target audience   self paced e learning course  senior policymakers  planning ministries line ministries civil society organizations academia   private sector 
				  course  open  everyone however  main target audience   self paced e learning course  senior policymakers  planning ministries line ministries civil society organizations academia   private sector 
					learning objectives
					following  completion   course   able 
define key building blocks   integrated recovery planning  policy coherence exercise towards transformational change   sdgs  particular emphasis  building back better   wake  shocks    covid 19 pandemic 
map analyze  engage effectively  key stakeholders   national priority setting process 
apply elements  systems thinking  assess  map intersectoral interactions  identify nationally relevant leverage points  accelerators 
apply back casting  scenario planning approaches  identify strategic policy options  achieving recovery objectives   identifying robust policies  adaptive actions  ensure resilience  shocks 
provide examples  tools  methods used  integrated planning  policy coherence 
conduct institutional readiness assessment  institutional policy coherence  sdg requirements 
 following  completion   course   able ",2
117,EQUIP,policy coherence," failures   free market approach  development  led   increased demand  advice  support  crafting industrial policies  promote  movement   sophisticated manufacturing activities  greater value addition  shortage  adequately trained national analysts leads   extensive dependency  international advisers     alarming cases  unrealistic strategic objectives   deployment  inappropriate policy tools every country   equipped  simple analytical tools  can help   answer imperative questions      industrial sector performing relative  competitors    potential  expansion upgrading employment generation  enhanced energy efficiency   industrial sector  diversified  embedded   industry answers  questions     vital  successful strategy setting  industrial policy formulation global experience indicates    industrial policy process   effective     evidence based participatory  focused  realistic objectives international best practice examples suggest   successful industrial policy cycle must start   thorough industrial diagnosis  maps  local  global industrial landscape  provides   depth understanding  country characteristics constraints  opportunities  well  global trends however  key challenge  many developing country governments   shortage  adequately trained national analysts  thus  lack  appropriate capacities  follow  industrial strategy formulation process   sufficiently evidence based unido  giz  developed  integrated methodological toolbox   capacity building package  industrial diagnosis equip enhancing  quality  industrial policies aims  support policymakers  developing countries  formulate  design evidence based strategies  inclusive  sustainable industrial development equip aims  strengthen  ability  lower income countries  manage   future   enable     larger say  strategy setting policy formulation   engagement  development partners 
											
							download syllabus
							
									  failures   free market approach  development  led   increased demand  advice  support  crafting industrial policies  promote  movement   sophisticated manufacturing activities  greater value addition  shortage  adequately trained national analysts leads   extensive dependency  international advisers     alarming cases  unrealistic strategic objectives   deployment  inappropriate policy tools every country   equipped  simple analytical tools  can help   answer imperative questions      industrial sector performing relative  competitors    potential  expansion upgrading employment generation  enhanced energy efficiency   industrial sector  diversified  embedded   industry answers  questions     vital  successful strategy setting  industrial policy formulation global experience indicates    industrial policy process   effective     evidence based participatory  focused  realistic objectives international best practice examples suggest   successful industrial policy cycle must start   thorough industrial diagnosis  maps  local  global industrial landscape  provides   depth understanding  country characteristics constraints  opportunities  well  global trends however  key challenge  many developing country governments   shortage  adequately trained national analysts  thus  lack  appropriate capacities  follow  industrial strategy formulation process   sufficiently evidence based unido  giz  developed  integrated methodological toolbox   capacity building package  industrial diagnosis equip enhancing  quality  industrial policies aims  support policymakers  developing countries  formulate  design evidence based strategies  inclusive  sustainable industrial development equip aims  strengthen  ability  lower income countries  manage   future   enable     larger say  strategy setting policy formulation   engagement  development partners 
					target audience
					staff members  government ministries 
				 staff members  government ministries 
					learning objectives
					 aim  equip   provide  indicators techniques  interpreting data  knowledge  reinforce  capacity  policy makers  think  industrial strategies  policies 
				  aim  equip   provide  indicators techniques  interpreting data  knowledge  reinforce  capacity  policy makers  think  industrial strategies  policies ",2
