"","...1","titles","description"
"106",107,"climate action: solutions for a changing planet","Learn about emerging solutions for reducing global greenhouse gas emissions and debate the best applications for green technologies in this free course on climate action. , Learn about emerging solutions for reducing global greenhouse gas emissions and debate the best applications for green technologies in this free course on climate action. , Reducing global, greenhouse gas emissions, Emissions reduction in, Russia and Australia, Decarbonizing, the economy, Actions for , communities and individuals, Harmful emissions, the degradation of the earth s resources, and global warming have loomed large for decades. With the negotiation and ongoing ratification of the sweeping Paris Agreement, commitments to reducing the effects of climate change abound., But how do we turn those commitments into action?, Enroll now to learn from the academics and researchers leading the battle against climate change, hailing from world-renowned institutions including Columbia University s Earth Institute, the Deep Decarbonization Pathways Project (DDPP), the International Institute for Applied Systems Analysis (IIASA), and the World Business Council on Sustainable Development (WBCSD).,  Module 1A: Implementing the Paris Climate Agreement (Part 1),  Module 1B: Implementing the Paris Climate Agreement (Part 2),  Module 2A: Deep Decarbonization: The Three Pillars and National Case Studies (Part 1),  Module 2B: Deep Decarbonization: The Three Pillars and National Case Studies (Part 2),  Module 3: Low Emissions Electricity & Renewables,  Module 4: Agriculture and Emissions,  Module 5A: Monitoring Land Use (Part 1),  Module 5B: Monitoring Land Use (Part 2),  Module 6: Policy Tools for the Transition to Low-Emissions,  Module 7: Low-Emission Solutions and the Business Community"
"107",108,"sustainable cities","Learn how government, the private sector, and other actors can support sustainable urban development, Learn how government, the private sector, and other actors can support sustainable urban development, An overview of governance, land management, utilities, and other entities, that make up urban systems, How technology is shaping transportation, energy, urban resilience, and more, , Understanding how poverty, health, economic opportunity, and other issues impact urban systems and development , , London, Durban, Mumbai,, and beyond, Did you know that experts estimate an additional three billion people will live in cities by 2050? What will the impact be on the the current world population   half of which currently lives in cities and contributes to about three-fourths of global economic output? The opportunities are vast   but so, too, are the potential issues., In the massive open online course Sustainable Cities, you will learn about the major challenges currently faced by urban areas around the world   including poverty, unemployment, poor housing infrastructure, and constraints on productivity   and the extraordinary potential of these areas to enable change in the future. From infrastructure to culture to economic opportunity, learn how harnessing the power of urban development for global progress is imperative., This course examines how urban sustainability can be delivered with increasing productivity and reduced inequality; provision of universal basic services and infrastructure; protection of the urban environments; and other solutions and investments, both speculative and in action around the world. You will emerge from this course understanding how governments, private stakeholders and other actors can improve urban development to heed the call of Sustainable Development Goal 11    making cities and human settlements inclusive, safe, resilient and sustainable  by 2030., This course was made possible through the generous support of the Jeffrey Cheah Foundation., Credits:Curator and Lead Faculty - Aromar ReviProgramme Coordinator - Geetha Krishnan and Vivekananda RajendraMedia Directors - Subasri Krishnan and Yashodara Udupa<U+2028>Teaching Assistant - Shobita Rao and Vineetha NallaCamera - Kunal Deshpande, Yashodara Udupa, and Zohrab Reys GamatAdditional Camera: Isaac BernerLight Assistance: ShekharSound: Jamie D silva and Rakesh U.P.Additional Sound - Kunal Deshpande, Subasri Krishnan, Zohrab Reys GamatEditing - Sandhya Kumar, Vinay Ghodgeri, Yashodara Udupa and Zohrab Reys GamatAdditional Editing - Sandeep ViswanathGraphics - Radhamohini PrasadAdditional Assistance with Graphics - Arindam Jana, Charlotte Adelina P, Mohan Raju JSVideo and Sound Post-Production - Pradeep NayakResearch Assistance - Aishwarya Balasubramanian, Ana Abbas, Anushree Deb, Amrita Chattopadhyay, Jaikishan Agarwal, Jessica George, Rahael Kuruvilla, Sarita Pillay, Sushmita Ramoji, Suman Barat, Teja MalladiAdditional Content Assistance - Neha SamiWord Edit Support - Rekha Raghunathan, Nishtha VadehraProduction - Ananth Kumar, Kailash Singh Rawat, Neelufer Aslam, Pancham Singh Rawat, Puttaswamy, Sanjay Kumar Pal, Sreejith SureshLocation Production Assistance: Alicia Fortuin, Sfanele Ntuli, Siphiwe 'Zane' SilindaLegal Assistance - Amlanjyoti Goswami, Kaye Lushington, Amrita Basu Mallik, Karuna SharmaTranscription - Anurag Dasgupta, Asha Mavinasara, Masoom Parmar, Nikita Vidhyalankar, Satyavrat Krishnakumar, Shaurya Singh, Teesta Krishnan SinhaTranslations (Hindi) - Communication for Development and Learning (CDL)Equipment hire - Adams, Vineet Videos, Wildclickz, Locations:Amsterdam, Bangkok, Bengaluru, Berlin, Brussels, Cape Town, Copenhagen, Durban, Jakarta, Johannesburg, Kampala, London, Melbourne, Mumbai, Nairobi, New Delhi, New York, Paris, Perth, Singapore, Thanks to:African Centre for Cities, University of Cape Town; Chulalongkorn University; Cities Alliance; Columbia University, Earth Institute; Curtin University; C40; eThekwini Municipality; Facultad Latinoamericana de Ciencias Sociales(FLACSO); ICLEI   Local Governments for Sustainability; International Institute for Environment and Development (IIED); Middlesex University; Mistra Urban Futures; Monash University; Penn Institute for Urban Research (Penn IUR); Public Health Foundation of India (PHFI); Scholarly Publishing and Academic Resources Coalition (SPARC); SEWA Bharat - All India Federation of Self Employed Women s Association; Shack/Slum Dwellers International (SDI); The New School; United Cities and Local Governments (UCLG);UN-Habitat; Sustainable Development Solutions Network; Women in Informal Employment: Globalizing and Organizing (WIEGO), Acknowledgments:Angshuman Das; David McEwen; Holger Kuhle; Jahnavi G.H.; Mohammad Fayaz; Capt. K Pooja Vasanth (Retd); Rebecca Heines; Sandeep Kumar Mitra; Swastik Harish; Varalakshmi; Vidya Jindal, Producer:Chandrika Bahadur for the Sustainable Development Solutions Network, SDG Academy,  Module 1: The urban opportunity,  Module 2: What makes a city function?,  Module 3: How can we reduce urban poverty and make cities inclusive and safe?,  Module 4: How can we make cities productive and reduce inequality?,  Module 5: How can we improve human development in cities?,  Module 6: How can we provide universal urban services and infrastructure?,  Module 7: How can the urban environment be protected and cities be made resilient?,  Module 8: How can cities and urban areas be governed better to make them more sustainable?,  Module 9: Who can enable and implement this change?"
"108",109,"globalization: past and future","In the age of the internet, highly interconnected supply chains and mass migration societies feel more closely linked than ever. But is that really the case?, In the age of the internet, highly interconnected supply chains and mass migration societies feel more closely linked than ever. But is that really the case?, From trade by sea to the fourth, industrial revolution, The value of a shared global, vision and ethics, The nations pushing progress and dominating, the global economy,  Module 1: Waves of Globalization in History,  Module 2: Ocean-Based Globalization: 1500-1800,  Module 3: The Anglo-American World: 1800-2000,  Module 4: The New Globalization"
"109",110,"water: addressing the global crisis","Water influences our lives and livelihoods. Yet lack of access to water is a rapidly growing problem and one of the world s gravest risks. What can be done to manage it sustainably and ensure a more water wise world?, Water influences our lives and livelihoods. Yet lack of access to water is a rapidly growing problem and one of the world s gravest risks. What can be done to manage it sustainably and ensure a more water wise world?, by 2030, GLOBAL GOAL ON WATER, for a , WATER WISE WORLD, to improve, WATER MANAGEMENT, from a natural resource to a , POLITICAL RESOURCE, Water is the source of all life. Without it, neither humans nor nature will survive. Yet lack of access to water is a rapidly growing problem and one of the world s gravest risks. The water we have at our disposal is often too little, too much or too dirty. We must learn to manage it more wisely, fairly and sustainably to avoid a serious water crisis., The SDG Academy and the Stockholm International Water Institute have come together to offer this MOOC on some of the most important water issues. We focus on the key role water plays in the achievement of the Sustainable Development Goals, particularly SDG 6 s call to ensure sustainable water and sanitation for all., The course intends to explain the linkages between water, environment, and societal development, focusing on how to tackle issues such as growing water uncertainty and deteriorating water quality. Through the course you will gain a better understanding of how water influences lives and livelihoods.  You will also learn how your own actions can contribute to a more water wise world., ,  Module 0: Experience, Knowledge, and Understanding,  Module 1: No One Will Be Left Behind,  Module 2: Climate Change,  Module 3: Water and Ecosystems,  Module 4: Water Governance Crisis: Who Gets Water, When, and How?,  Module 5: Water and Sanitation Services and Delivery,  Module 6: Transboundary Water: Source of Conflict or Solution?,  Module 7: Food and Water,  Module 8: A Critical Connection: Water + Energy,  Module 9: Case Studies"
"110",111,"tech for good: the role of ict in achieving the sdgs","What opportunities and challenges do information and communication technologies present for the development of our society?, What opportunities and challenges do information and communication technologies present for the development of our society?, How technological advances enable new, DEVELOPMENT SOLUTIONS, How our digitally-connected world promotes the, PRODUCTION OF KNOWLEDGE, How ICT is both an indicator of progress and a tool for, GATHERING DATA, How do we ensure that this technology is used, ETHICALLY AND EFFECTIVELY?, Tech for Good was developed by UNESCO and Cetic.br/NIC.br, the Brazilian Network Information Center s Regional Center for Studies on the Development of the Information Society. It brings together thought leaders and changemakers in the fields of information and communication technologies (ICT) and sustainable development to show how digital technologies are empowering billions of people around the world by providing access to education, healthcare, banking, and government services; and how  big data  is being used to inform smarter, evidence-based policies to improve people s lives in fundamental ways., It also addresses the new challenges that technology can introduce, such as privacy, data management, risks to cybersecurity, e-waste, and the widening of social divides. Ultimately, Tech for Good looks at the ways in which stakeholders are coming together to answer big questions about what our future will look like in a hyper-digitized world.,  Module 1: Welcome to the Digital Age,  Module 2: Technology for Governments and Citizens,  Module 3: ICT Infrastructure,  Module 4: ICT Innovations in Health,  Module 5: Learning in Knowledge Societies,  Module 6: Promoting Financial Inclusion,  Module 7: Measurement and Metrics for ICT and the SDGs,  Module 8: Artificial Intelligence for Development,  Module 9: Concerns for our Digital Future,  Module 10: The Way Forward"
"111",112,"feeding a hungry planet","How do we create a healthy and sustainable diet for the growing world population? , How do we create a healthy and sustainable diet for the growing world population? , How the field has developed over time, and how recent developments like advanced technology impact farming, , All about regulations influencing production, trade, and other aspects of agriculture, , What is food security? How do poverty, inequality, and other factors affect the nutrition of individuals and entire countries?, , Examples from industries ranging from rice to livestock, and the experiences of smallholder farmers, , Agriculture is more than waving fields of wheat; our ability to grow food from existing natural resources   and without decimating those resources   is key to sustainably feeding the world., In this 7-module massive open online course (MOOC), learn about food security worldwide, the effects of malnutrition, how we manage ecosystems that provide food resources, and more. You ll emerge from this course with a clear answer to the question: What can I do to make food consumption and production more sustainable?, , This course is supported by faculty based at Cornell University, Johns Hopkins University, Rothamsted Research, Tufts University, and Wageningen University and Research., We are grateful to the International Fertilizer Association (IFA) for supporting the course's Teaching Assistants.,  Module 1: The global challenges around food,  Module 2: Agriculture at the center of sustainable development,  Module 3: Food systems for nutritional security and better health,  Module 4: Sustainable intensification of agricultural systems   Part 1,  Module 5: Sustainable intensification of agricultural systems   Part 2,  Module 6: Rural development for poverty alleviation,  Module 7: Action for change"
"112",113,"environmental security and sustaining peace","Natural resources and the environment as a vehicle for peace., Natural resources and the environment as a vehicle for peace., How natural resources and the environment , impact conflict, How natural resources and the environment support, peacebuilding, How conflict harms natural resources and, the environment, How you can assess and address the relationship between , natural resources and conflict, Conflicts over natural resources and the environment are among the greatest challenges in 21st-century geopolitics. These conflicts present serious threats to human security at both the national and local levels. Natural resources and the environment can nonetheless serve as a vehicle for peace if managed in a sustainable and equitable manner. Environmental peacebuilding has emerged as a new frontier in interdisciplinary studies. It offers a conceptual and operational framework to understand the positive peacebuilding potential of natural resources across the conflict lifecycle while mitigating potential risks., This 8-week massive open online course on Environmental Security and Sustaining Peace provides an in-depth introduction to the multiple roles that natural resources and the environment play in the onset, escalation, resolution, and recovery from violent conflicts. Many of the considerations and approaches in this course are also relevant to understanding and addressing social conflicts around natural resources and the environment.,  Module 1: Course Overview (Week 1),  Module 2: Natural Resources and Conflict Causes (Weeks 2 and 3),  Module 2B: Natural Resources and Conflict Causes (Part 2),  Module 3A: Natural Resources and the Environment during Armed Conflict (Part 1),  Module 3B: Natural Resources and the Environment during Armed Conflict (Part 2),  Module 4A: Post-Conflict Environmental Peacebuilding (Part 1),  Module 4B: Post-Conflict Environmental Peacebuilding (Part 2),  Module 5: Course Wrap-up and Final Assignment (Week 8)"
"113",114,"the korean story: secrets of an economic miracle","What can the world learn from the South Korean development story?, What can the world learn from the South Korean development story?, Probe into what is known as, THE MIRACLE OF THE HAN RIVER, , HOW AND WHY THIS REFORM MOVEMENT WORKED, Understand the policies that shaped Korea's, HUMAN CAPITAL DEVELOPMENT, Leveraging, KOREA'S EXPERIENCE, The Korean Story discusses the socio-political and historical context that has shaped the economic growth of South Korea. It probes into how South Korea, post-WWII, was able to transform its economy within three decades to emerge as a leading innovation and technology center in the 21st century., It highlights South Korea s current status in terms of human development indicators and the SDGs and offers insights on how other countries can achieve similar growth stories with structured reform and policy measures., The course features modules from eight leading Korean experts in economics, politics, education, health, gender empowerment, rural development, and transportation. The eminent thought-leader in economics and sustainable development, Prof. Jeffrey D. Sachs presents the introductory module about the Sustainable Development Goals (SDGs), while especially focusing on the Korean experience of setting goals and targets to achieve them., The Korean Story: Secrets of an Economic Miracle is developed and produced by the KDI School of Public Policy and Management, in partnership with the SDG Academy.,  Module 1: Introduction,  Module 2: The Korean Economic Miracle: Its Secrets & Lessons,  Module 3: Achievements of the Korean Rural Saemaul Movement,  Module 4: Health Policy and Universal Health Coverage,  Module 5: Accumulating Human Capital for Sustainable Development in Korea,  Module 6: The Role of Women in Korean Development,  Module 7: Trade, Industry, and Competition,  Module 8: Building an IT Economy: The Korean Experience,  Module 9: Environment and Global Considerations,  Module 10: Transport Infrastructure and Economic Development,  Module 11: Politics of Making Development Sustainable in South Korea"
"114",115,"transforming our world: achieving the sdgs","What will it take to achieve the Sustainable Development Goals by 2030?, What will it take to achieve the Sustainable Development Goals by 2030?, What are the, Sustainable Development Goals?, How modern advancements and connectivity can help us , achieve the goals, Why should you care about the Sustainable Development Goals   as a corporation, as a university, as an individual?, , In this massive open online course, learn all about the 17 Sustainable Development Goals., In September 2015, the world s leaders signed on to this new agenda, answering the call for a global vision of important social, economic and environmental needs to support the planet and its people in long-term prosperity and survival. The goals include a set of key areas of focus, as well as detailed targets to put our planet on track for this continuing sustainability through 2030 and beyond.,  Module 1: Getting to Know the Sustainable Development Goals,  Module 2: Sustainable Development Plans,  Module 3: Technology, Innovation, and the Sustainable Development Goals,  Module 4: Good Governance and the Sustainable Development Goals,  Module 5: Business and the Sustainable Development Goals,  Module 6: Universities and the Sustainable Development Goals"
"115",116,"human rights, human wrongs","With complex legal protections and varying societal norms, how do we ensure rights for all?, With complex legal protections and varying societal norms, how do we ensure rights for all?, International agreements in place to support , marginalized groups, Gender, ethnicity and other factors that intersect   and interfere   with rights worldwide, , How global politics shape the conversation   and the law, , How new approaches to humanitarian assistance hurt and help, , From women to children to indigenous peoples, the rights of marginalized groups the world over are violated daily. These injustices affect not just these groups, but also the stability of our world   and our collective future., Join this massive open online course to learn about the establishment of human rights and their linkages to many other global issues in sustainable development. Using legal frameworks as the lens, the course explores the barriers that prevent rights from becoming reality in different societies.,  Module 1: Why Does the World Need Human Rights?,  Module 2: How Do International Legal Frameworks and Institutions Interact with the Development Agenda?,  Module 3: International Human Rights Frameworks and Marginal Groups,  Module 4: What are the Basic Underlying Frameworks for Social Inclusion?,  Module 5: Contested Rights and the Co-option of the Rights Discourse,  Module 6: Sites of Gendered Poverty and Inequality,  Module 7: Gendered Rights and Violence,  Module 8: The Nature of Social Exclusion: Minorities and Indigenous Peoples,  Module 9: Who Will Advocate for the Vulnerable at Their Most Vulnerable?,  Module 10: From Exclusion to Inclusion: Responding to Crisis and Conflict,  Module 11: New Directions: Rights and the SDGs"
"116",117,"planetary boundaries and human opportunities","Can our planet continue to support the current scope of human activity?, Can our planet continue to support the current scope of human activity?, What is it and, why does it matter?, Understanding the social-ecological implications of, sustainability, The big three boundaries of , the planet, How do we move forward as a planet for, sustainability?, A thriving global society relies on the stability of the Earth and its resilience across oceans, forests, waterways, biodiversity, the atmosphere and more. So how do we shape sustainability at a global scale? The boundaries set by the planet s natural resources, the resilience of those resources, and the human activities that impact sustainability all come into play., In this massive open online course, see the rapidly evolving trends in global environmental change and the responses aimed at slowing or eliminating these changes. Get an overview of what is seen by some scientists as our current geological epoch   the Anthropocene, or an age of global change driven most significantly by humans. Learn how unsustainable patterns of production, consumption, and population growth have challenge planetary resilience, all in support of human activity   and how our societies can develop in a just and safe way within the planet s boundaries.,  Module 1: Introduction and the Big Picture,  Module 2: Welcome to the Anthropocene,  Module 3: Social-Ecological Systems and Resilience Thinking,  Module 4: Planetary Boundaries Framework   Part 1,  Module 5: Planetary Boundaries Framework   Part 2,  Module 6: Planetary Boundaries and Global Equity,  Module 7: Moving towards Global Sustainability within Biophysical and Social Boundaries,  Module 8: Conclusion"
"117",118,"global public health","Understanding the value of health not just as a benefit or right of individuals, but as a global public need, Understanding the value of health not just as a benefit or right of individuals, but as a global public need, How our collective wellness has been impacted by globe-spanning factors, over the years, The emergence of high-tech solutions to improve access,, scalable treatments and more, The infrastructure and institutions that have shaped , the healthcare industry, What are the effects of a healthy individual on the world around them? Beyond the hereditary connections between parents and children or the implications of communicable diseases, public health has intrinsic value as a basic human right and in the context of social, economic and environmental factors., Global Public Health is a massive open online course all about the institutions, infrastructure and interplay of actors that constitute health not only in local communities, but also on a global scale. In this course, you ll discover how health is influenced by environment, food systems, energy security, transport, trade and human migration. You ll also learn health s positive influence on other sectors, with investments in health shown to have a positive impact on economic development. This course will illuminate how health impacts and is essential to achieving poverty reduction, gender empowerment, universal education, conflict resolution and other Sustainable Development Goals.,  Module 1: Introduction to Public Health,  Module 2: Trends in Public Health,  Module 3: Infectious Disease,  Module 4: Maternal and Child Health,  Module 5: Non-Communicable Diseases   Part I,  Module 6: Non-Communicable Diseases   Part II,  Module 7: Health Systems   Part I,  Module 8: Health Systems   Part II,  Module 9: Environment and Health,  Module 10: Public Health in the 21st Century"
"118",119,"climate change science & negotiations","Learn the science of climate change and how we can come together to stop it., Learn the science of climate change and how we can come together to stop it., , Energy balance, emissions and more, The role of nuclear power, electric vehicles and other technologies, , , What is this and why do we have it?, All about the process to regulate climate change and, climate action, The time to address climate change is now. The mean surface temperature of the Earth has risen dangerously and spurred devastating impacts   and not just on natural ecosystems worldwide, but on daily human life. We are currently on pace towards a temperature increase of 4 C or more this century, while scientists and policymakers propose targets of just 1-2 C to avoid the total destruction of the planet., In this massive open online course, learn solutions to mitigate the effects of the global greenhouse gas emissions causing temperature rise, and how to apply these solutions in different national contexts improvements., NOTE: This course was created before the 2015 United Nations Climate Change Conference   COP21   in Paris. While the political situation has shifted rapidly, this course provides a solid overview of the science behind climate change., Climate Change Science and Negotiations is a single-semester course. Please ignore all references to a second semester.,  Module 1: Towards a New Climate Change Agreement,  Module 2: The Basics of Climate Change Science,  Module 3: The 2-Degree Limit,  Module 4: The 2-Degree Carbon Budget,  Module 5: The Deep Decarbonization of Energy Systems,  Module 6: The Key Technological Challenges of Deep Decarbonization,  Module 7: Deep Decarbonization Pathways: Country Case Studies,  Module 8:  Energy & Development,  Module 9: Main Challenges of Climate Change Negotiations,  Module 10: Towards a New Climate Agreement Based on 2-Degrees Celsius"
"119",120,"from the ground up: managing our terrestrial ecosystems","Examine the complex relationship between humans and their environment, and the effects that relationship has on critical ecosystem services. , Examine the complex relationship between humans and their environment, and the effects that relationship has on critical ecosystem services. , The factors that determine the resilience of an ecosystem to human activities and , climate change, Use, preservation and management in regions including, the Brazilian Amazon and Bhutan, What events will fundamentally alter an ecosystem and its ability to, support extant life?, How communities and policymakers can preserve, local ecosystems,  Module 1: Introduction to Terrestrial Ecosystems,  Module 2: The Challenges Facing Terrestrial Ecosystems,  Module 3: Terrestrial Ecosystem Valuation,  Module 4: Management Systems for Terrestrial Ecosystems,  Module 5: Designing Sustainable Ecosystem Programs,  Module 6: Public Policies, Programs and Projects: Evaluation and Assessment,  Module 7: Enabling Institutional Environments for SDG 15"
"120",121,"laudato si<u+0092>: on care for our common home","A mini-course on the urgent call to action: protect the earth and its inhabitants from ruin., A mini-course on the urgent call to action: protect the earth and its inhabitants from ruin., The origins of Pope Francis , call to action, From grassroots to, policy-level support, An overview of the human roots of , the ecological crisis, What is Laudato Si ? First presented by Pope Francis   spiritual leader to the world s 1.2 billion Catholics   to his faith-based cohort, it is a call to action addressed not only to Catholics, but to all people of the world. Laudato Si : On Care for Our Common Home raises the profile of the grave ecological crisis that humanity has created and issues a moral clarion call for urgent action to protect the earth and its inhabitants from ruin., This short course provides an overview of the main themes and messages of Laudato Si . No affiliation or prior familiarity with Catholic teaching is required, nor any prior knowledge of the sustainable development agenda. Learners are guided through the basic structure of the Laudato Si  message   diagnosis of the ecological crisis, an overview of its theological and philosophical underpinnings, evaluation of the human behavior at its root, the need for institutional solutions, and the call for personal action. Issued in the months leading up to adoption of the Sustainable Development Goals and the Paris Climate Agreement, Laudato Si  can be read as a moral charter for sustainable development. It provides a firm ethical foundation for actions that need to be taken urgently at all levels   global, national, local, and personal, too. This is what makes it so important.,  Module 1: Pope Francis & the Encyclical,  Module 2: On Care for Our Common Home,  Module 3: Theology, Philosophy & the Encyclical,  Module 4: Human Roots of the Ecological Crisis,  Module 5: Global, National & Local Solutions,  Module 6: International Ecological Conversion"
"121",122,"transforming development: the science and practice of resilience thinking","Explore how concepts from resilience may help us rethink and transform current development practice. , Explore how concepts from resilience may help us rethink and transform current development practice. , Analyse the latest issues and debates about global environmental change, sustainability, and resilience, , Understand complexity and complex systems in ways that help analyze the world and diverse development contexts, , Identify cutting-edge and surprising ways that core concepts of resilience thinking can be applied in practice, , Understand the evolution of resilience thinking tools, and master those that can support your own activities, , With concerns about climate and global environmental changes, extreme events, and increases in social, economic, and political shocks, the concept of resilience is proving popular across a range of sectors as a way to understand and respond to our surprise-riddled world., Resilience thinking includes the ability to persist in the face of challenges, adapt to new realities, or transform to fundamentally new paths for development. Resilience thinking is more than a theory, more than a set of tools. It is a way of seeing the world, offering a new perspective of how change in the world happens. Resilience thinking provides a new approach for building understanding and taking action in a complex world that is deeply interconnected and ever-changing. A world where controlled, planned approaches, existing knowledge and current solutions are not enough to effectively respond to the challenges in a highly dynamic and uncertain future. Addressing poverty, injustice, and inequality, and advancing human well-being remains a major ambition and challenge for the 21st century, and it now needs to take into account that development will happen in a context radically different from the past., This course includes case studies and examples from practitioners who are working with resilience concepts in diverse contexts around the world. It is supported by strong scientific evidence and committed to being a platform to bring together and spark collaboration between individuals and organizations from around the world who are driven to transform development.,  ,  Module 1: Setting the Scene - Development in a changing world,  Module 2: Why does the world seem so complex?,  Module 3: Transformations and innovation for rethinking development practice,  Module 4: The journey from theory to practice,  Module 5: Reconnecting the social-ecological-cultural for rethinking development practice,  Module 6: Why the global matters for transforming development practice,  Module 7: Alternative futures for development practice,"
"122",123,"changing<u+00a0>mindsets in public institutions to implement the 2030 agenda for sustainable development<u+200b>",", Changing Mindsets in Public Institutions to Implement the 2030 Agenda for Sustainable Development, Related SDGs: SDG 16Keywords: Mindsets, Attitudes, CompetenciesLanguage: English, Learning Objectives, The training toolkit aims to provide a set of methodologies and tools that can contribute to a change in the environment, culture and mindset of public servants in implementing the Sustainable Development Goals (SDGs) in the context of the 2030 Agenda. The training toolkit approaches transforming mindsets in the public sector as the result of three interlinked factors: transforming mindsets (1) at the institutional level through new human resources laws, regulations, policies and regulations; (2) at the organizational level through a new organizational culture inspired by the principles of the 2030 Agenda; and (3) at the individual level through beliefs, values, competencies and skills. <U+200B>, Upon completion of the training, learners will have:<U+200B>  , , Content and Structure, Syllabus			The Toolkit is comprised of the following modules that can be used to conduct a five-day regional or national training capacity development workshop. Selected modules can also be used for shorter trainings and combined with modules of the other Curriculum's Training of Trainers Toolkits.<U+200B>Welcome & Course Introduction, Setting the scene: Why is changing mindsets critical to the implementation of the SDGs?			Module 1.1: Setting the Scene			Module 1.2: Changing Role of Public Administration, Exploring Mindsets: Collaborative Mindset			Module 2.1: Exploring Mindsets: Collaborative MindsetExploring Mindsets: Learning Mindset			Module 3.1: Exploring Mindsets: Learning Mindset, Exploring Mindsets: Leadership Mindset			Module 4.1: Exploring Mindsets: Leadership Mindset			Module 4.2: Changing Mindsets, Changing mindsets: Strategy and Tactics			Module 5.1: Strategy and Tactics			Module 5.2: Action plan - What does this mean for my role<U+200B>, Agenda at a Glance of the 5-day Training Workshop, Trainer's Manual, Targeted Audience			Schools of public administration, national experts   government officials, academics, UN Country Teams, and others, Additional InformationTerms and Conditions of use for the Curriculum on Governance for the SDGsReport on Changing Mindsets to Realize the 2030 Agenda for Sustainable DevelopmentFeedback SurveyThe Mindset Challenge Approach			The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.orgDownload the Toolkit Package,"
"123",124,"transparency, accountability and ethics in public institutions",",  ,  , Learning Outcomes, Content and Structure  , Syllabus<U+200B>  , The toolkit consists of 18 modules which can be facilitated in a five-day training. Modules can be presented in full or partially, independent from each other and are customizable, meaning they can be adjusted to the sociocultural or geographic context where a training is delivered.
<U+200B>
Fundamentals of Ethics and Public IntegrityWelcome & Course IntroductionModule 1: How would a World without Corruption Look?Module 2: Essentials of Ethics and Public IntegrityModule 3: Transparency and AccountabilityModule 4: Understanding and Assessing CorruptionModule 5: International Frameworks for Integrity and Anti-Corruption
Ethics and Public Integrity at the Institutional and Policy LevelModule 6: Oversight InstitutionsModule 7: Social Accountability MechanismsModule 8: Integrity CodesModule 9: Managing Conflict of InterestModule 10: Whistleblowing
Organizational Change for Enhanced Ethics and IntegrityModule 11: Staff Management and Developing Capacities for IntegrityModule 12: Creating an Organizational Culture of Ethics and IntegrityModule 13: Transparent Public Procurement
Individual Ethical BehaviorModule 14: Ethical LeadershipModule 15: Assessing Personal vis- -vis Organizational ValuesModule 16: Behavioral Insights and Staff IncentivesModule 17: How to Promote Desired Behavioral Change?
Strategy and Action Plans for Enhanced Ethics and Public Integrity<U+200B>Module 18: Developing a Strategy, Roadmap and Action Plan for Enhanced Ethics and Public Integrity, 
Trainer's Manual, Targeted Audience
National experts   government officials, academics, UN Country Teams, and others., Additional InformationTerms and Conditions of use for the Curriculum on Governance for the SDGsVideo of the ToolkitFeedback Survey
The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.org."
"124",125,"strengthening institutional arrangements and governance capacities for policy coherence<u+200b>",",  , The primary objective of the training toolkit is to support UN Member States in developing their governance capacities and institutional arrangements for policy coherence. The toolkit focuses on public institutions  capacity to spearhead integrated planning, policymaking, decision making, implementation, M&E and aligning budgets at the national government level. The toolkit is aimed at supporting build capacities for a whole of government and whole of society approach by examining the core role of a strategy to implement the SDGs, the roles and responsibilities of different government institutions and non-government actors involved and how they are coordinated. The toolkit also touches upon which human, financial, and technological resources are needed to strengthen those institutions.<U+200B>, SyllabusCourse Overview<U+200B>, Targeted Audience
National experts   government officials, academics, UN Country Teams, and others, Additional InformationTerms and Conditions of use for the Curriculum on Governance for the SDGsReadiness Assessment of Institutional Arrangements for Policy Coherence Feedback Survey
The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.org"
"125",126,"effective national to local public governance for sdg implementation",",  , The learning outcomes for this training toolkit are designed around the often-expressed challenges of strengthening national to local government coordination and institutional effectiveness for the SDGs. Therefore, this toolkit aims to break these barriers for more effective achievement of the SDGs and highlights the role of local government.
Upon completion of the training, learners will have:, Trainer's Manual, Download the Toolkit Package"
"126",127,"government innovation for social inclusion of vulnerable groups",",  , The training toolkit aims to build capacities to promote government innovation for social inclusion of vulnerable groups by introducing approaches, strategies, and experiences at the national level. It also highlights the importance of empowering vulnerable groups and engaging them in policy design, implementation, and monitoring processes, as agents of change., Upon completion of the training, learners will have:, Agenda at a Glance of the 5-day Training Workshop, Download the Toolkit Package,"
"127",128,"risk-informed governance and innovative technology for disaster risk reduction and resilience <u+200b>",",  ,  , Practical and Planned Application of Emerging Technology and Government Innovation for DRR and ResilienceModule 2.1: Extending Our Reach and Expanding Our Capabilities
Site Visit: Innovative Technologies for DRR and Resilience in PracticeModule 2.2: Changing How We Make and Acquire ThingsModule 2.3: Connecting People, Things, and TechnologyModule 2.4: Improving Data Analysis and the Presentation of InformationModule 2.5: Humans as a Resource
Training: Big Data Analysis Implementation of Emerging Technologies and Government Innovation for DRR and ResilienceModule 3.1: Implementing and Financing Technology SolutionsModule 3.2: Technology Gaps and Challenges to Implementation of Innovative Technologies for DRR and ResilienceModule 3.3: Measuring Progress: Monitoring and Evaluation of Implementation Efforts, Agenda at a Glance of the 5-day Training Workshop"
